"Test Directory Package ID","Assay: Company/Institution Name: Organisation Name","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Region","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country of Manufacturer","Assay: Created Date","Assay: Assay ID","Assay: Assay Name","Instrument: Instrument Name","Assay: Product Website","Assay: Stage of Development","Assay: Planned Market Entry","Assay: Regulatory Approval","Assay: Primary Use Case","Assay: Syndromes","Assay: Disease Target","Assay: Assay Aim","Assay: ID type","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Other Target Analyte","Assay: Target Pathogen","Assay: Other target pathogen","Assay: Target Organism Classes","Assay: Type of Technology","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Other Readout Technology","Assay: Qualitative or Quantitative","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Antimicrobial Resistance Class","Assay: Other Antimicrobial Resistance Class","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: AST Output","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: End user profile (training level)","Assay: Lab vs. POC","Assay: Health Level","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Assay: Comments","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region"
"a2vVj0000017EHK","DiaSorin Molecular llc","molecular.diasorin.com/us","Americas","Cypress","United States","22.05.2024","a2rVj0000006cB0","Simplexa GBS Direct Kit","","https://molecular.diasorin.com/international/kit/simplexa-group-b-strep-direct-kit/","Regulatory Achieved","Already on the market (commercialized)","Brazil ANVISA; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","","60.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHI","Coyote Bioscience Co., Ltd.","coyotebio.com","Western Pacific","Beijing","China","22.05.2024","a2rVj0000006cAy","FlashDetect LyocartE GBS","","https://en.coyotebio.com/uploads/colorPage_download/colorPage/Coyote%C2%AE%20Test%20Menu_%2020240203_V3.pdf","Research Use Only (RUO)","Already on the market (commercialized)","None","","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Unknown","","","Yes","","","China","Western Pacific Region"
"a2vVj0000017EHN","Hangzhou AllTest Biotech Co., Ltd.","alltests.com.cn","Western Pacific","Hangzhou","China","22.05.2024","a2rVj0000006cB3","Strep B Rapid Test","","https://www.alltests.com.cn/Home/ProductInfo/26","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab","","10.00","Yes","","","China","Western Pacific Region"
"a2vVj0000017EHM","Great Basin Scientific","gbscience.com","Americas","Salt Lake City","United States","22.05.2024","a2rVj0000006cB2","Group B Streptococcus Test","","https://gbscience.com/products/panels-and-tests/group-b-streptococcus-test/","Regulatory Achieved","Already on the market (commercialized)","US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","cfb gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","PCR (conventional)","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","Lab-based","","Intended for professional use only","Vaginal-rectal swab","","105.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHL","FlashDx","flash-dx.com","","Shenzhen","","22.05.2024","a2rVj0000006cB1","FlashDx GBS Test","","https://www.goffinmoleculartechnologies.com/product/gbs-test/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","cfb gene; sip gene","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Vaginal swab","","50.00","Yes","","","China","Western Pacific Region"
"a2vVj0000017EHC","Cepheid","cepheid.com","Americas","Sunnyvale","United States","22.05.2024","a2rVj0000006cAs","Xpert GBS LB","","https://www.cepheid.com/en-US/tests/blood-virology-womens-health-sexual-health/xpert-gbs-lb.html","Regulatory Achieved","Already on the market (commercialized)","US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","3' DNA region adjacent to the cfb gene of Streptococcus agalactiae","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Vaginal-rectal swab","","55.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHB","Cepheid","cepheid.com","Americas","Sunnyvale","United States","22.05.2024","a2rVj0000006cAr","Xpert GBS","","https://www.cepheid.com/en-US/tests/blood-virology-womens-health-sexual-health/xpert-gbs.html","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; US FDA 510k","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","DNA","Other","3' DNA region adjacent to the cfb gene of Streptococcus agalactiae","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Vaginal-rectal swab","","50.00","Yes","","","United States","Region of the Americas"
"a2vVj0000017EHA","Biozek Medical","biozek.com","Europe","Apeldoorn","Netherlands","22.05.2024","a2rVj0000006cAq","Strep B Rapid Test Dipstick/Cassette","","https://www.biozek.com/strep-b-3/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab; Other","Swab from newborn","12.00","Yes","","","Netherlands","European Region"
"a2vVj0000017EHG","Citest Diagnostics Inc.","citestdiagnostics.com","Americas","Vancouver","Canada","22.05.2024","a2rVj0000006cAw","Strep B Rapid Test","","http://www.citestdiagnostics.com/Home/ProductInfo/29","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Rectal swab; Vaginal swab","","10.00","Yes","","","Canada","Region of the Americas"
"a2vVj0000017EHF","Certum Diagnostics","certumdiagnostics.com","Americas","Unknown","Mexico","22.05.2024","a2rVj0000006cAv","Prueba Rápida para Strep B en Cassette","","https://certumdiagnostics.com/pruebas-en-enfermedades-infecciosas/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Triage/Screening","Bloodstream Infections; CNS Infections; Lower Respiratory Tract Infections; Neonatal Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","","ID","","Antigen","Unknown","","Streptococcus agalactiae (Group B)","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","","Yes","","","Mexico","Region of the Americas"
