"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: FIND Website Area","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","FIND Evaluation","Study Type","Type of data source","Assay Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples"
"a2v69000004gL0r","a2r69000007lb9x","a266900000Bsc2g","06.07.2023","Neglected Tropical Diseases","Belo Horizonte","Brazil","Region of the Americas","bioclin.com.br","BIOCLIN","LEISHMANIASIS VH BIO (25 TESTS + LANCET)","Diagnostic/confirmatory test","ID","Visceral Leishmaniasis","Leishmania donovani; Leishmania infantum","Regulatory Achieved","Brazil ANVISA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-L.donovani IgG; Anti-L.infantum IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Whole Blood","","10.00","Yes","No","Leishmaniasis Overall","No","Company-Sponsored","Company website","Antibody (serological)","99.09","97.33","100.00","9.99","99.99","100.00","","","210","110","100"
"a2v69000004gL0q","a2r69000007lbng","a266900000Bsc2f","06.07.2023","Neglected Tropical Diseases","Buenos Aires","Argentina","Region of the Americas","biocientifica.com.ar","Biocientífica","Inmunofluor Chagas","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD; Ecuador ARCSA; Paraguay DINAVISA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgA; Chagas IgG; Chagas IgM","Immunofluorescence Assay (microscopy)","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","","150.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","70.00","0.00","0.00","0.00","0.00","0.00","","Serum","0","0","0"
"a2v69000004gL0s","a2r69000007lbNg","a266900000Bsc2i","06.07.2023","Neglected Tropical Diseases","Belo Horizonte","Brazil","Region of the Americas","bioclin.com.br","BIOCLIN","LEISHMANIOSE VH BIO","Diagnostic/confirmatory test","ID","Visceral Leishmaniasis","Leishmania donovani; Leishmania infantum","Regulatory Achieved","Brazil ANVISA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-L.donovani IgG; Anti-L.infantum IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Whole Blood","","15.00","Yes","No","Leish BLANK","No","Company-Sponsored","No available data","Antigen","0.00","0.00","0.00","0.00","0.00","0.00","","Unknown","0","0","0"
"a2v69000004gL0X","a2r69000007lb6n","a266900000Bsc1y","06.07.2023","Neglected Tropical Diseases","Lyon","France","European Region","BIOASTER.org","BIOASTER","Ov16 lateral flow assay","Surveillance","ID","Onchocerciasis","Onchocera volvulus","Early Stage Development (partial prototype)","None","","2024","Immunoassay","Antibody (serological)","Oncho IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma","","10.00","Yes","No","Onchocera volvulus","No","Independent","Unpublished data","Antibody (serological)","92.40","84.40","96.40","100.00","96.20","100.00","","Plasma","0","79","98"
"a2v69000004gLaF","a2r69000007lbo3","a266900000Bsd8C","06.07.2023","Neglected Tropical Diseases","Bray","Ireland","European Region","trinitybiotech.com","Trinity Biotech","Trypanosoma cruzi IFA Test System","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Immunofluorescence Assay (microscopy)","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gLcC","a2r69000007lc18","a266900000BsdBq","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagatest ELISA recombinante v.4.0","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Chile ANAMED; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","130.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","0.00","0.00","99.66","0.00","0.00","","Serum; Plasma","1292","100","1192"
"a2v69000004gLcC","a2r69000007lc18","a266900000BsdBr","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagatest ELISA recombinante v.4.0","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Chile ANAMED; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","130.00","Yes","No","WHO comparative study data 2010","No","Independent","Published scientific article","Antibody (serological)","98.80","95.80","95.80","99.62","97.90","100.00","","Serum","430","168","262"
"a2v69000004gLcC","a2r69000007lc18","a266900000BsdBs","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagatest ELISA recombinante v.4.0","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Chile ANAMED; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","130.00","Yes","No","Caicedo Díaz comparative study 2019","No","Independent","Published scientific article","Antibody (serological)","98.83","97.31","100.00","97.96","95.98","99.93","","Whole Blood","501","256","245"
"a2v69000004gLcC","a2r69000007lc18","a266900000BsdBt","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagatest ELISA recombinante v.4.0","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Chile ANAMED; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","130.00","Yes","No","Caballero Evaluation of serological test 2007","No","Independent","Published scientific article","Antibody (serological)","100.00","94.50","100.00","100.00","97.80","100.00","","Whole Blood","166","53","113"
"a2v69000004gLcB","a2r69000007lc12","a266900000BsdBu","06.07.2023","Neglected Tropical Diseases","Rosario, Santa Fe","Argentina","Region of the Americas","wiener-lab.com","Wiener Lab","Chagatest ELISA lisado","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","95.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","0.00","0.00","99.29","0.00","0.00","","Serum; Plasma","824","85","739"
