date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng
17.01.2024,Biocan Diagnostics Inc,a2rVj0000001oyr,TELL ME FAST Gonorrhea Test Device,Canada,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,NA,https://rapidtest.ca,Already on the market (commercialized),NA,NA,Unspecified,Antigen,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,NA,Urethral swab; Vaginal swab,NA,NA,Coquitlam,Yes,Canada,"Coquitlam, Canada",49.28505325,-122.79459381
18.04.2024,Scout,a2rVj0000005Bu5,Scout CT/NG,United States,Region of the Americas,Early Stage Development (partial prototype),None,Molecular,ID,Sexually Transmitted Infections,NA,https://scouthealth.com,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,Isothermal LAMP,Fluorescence,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Unknown,True Point of Care,Intended for professional use only,Urine; Vaginal swab,NA,30,Santa Clara,Yes,United States,"Santa Clara, United States",37.3523941,-121.95307922
17.01.2024,Biocan Diagnostics Inc,a2rVj0000001p0T,TELL ME FAST Chlamydia Test Device,Canada,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Sexually Transmitted Infections,NA,https://rapidtest.ca,Already on the market (commercialized),NA,NA,Unspecified,Antigen,Bacteria (Gram-),Chlamydia trachomatis,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,NA,Cervical swab; Urethral swab; Urine,NA,NA,Coquitlam,Yes,Canada,"Coquitlam, Canada",49.28505325,-122.79459381
25.05.2023,TECHLAB,a2r69000007laOf,C. DIFF QUIK CHEK COMPLETE,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
25.05.2023,Quidel,a2r69000007laPG,Sofia Legionella Fluorescent Immunoassay (FIA),United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://quidel.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,near Point of Care,Intended for professional use only,Urine,NA,10,San Diego,Yes,United States,"San Diego, United States",32.71575928,-117.16381836
25.05.2023,Mast Group Ltd.,a2r69000007laOe,MAST CARBA PAcE,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,Resistance,Gastro-intestinal Infections,Pseudomonas spp; Acinetobacter spp,https://mast-group.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Antigen,Bacteria (Gram-),Enterobacterales; Other,Unknown,Enzymatic assays,Colorimetric,NA,Qualitative,CPO,Unknown,NA,Not applicable,NA,Not applicable,IA Reagent Kit,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,10,Bootle,Yes,United Kingdom,"Bootle, United Kingdom",53.45450211,-2.99138474
25.05.2023,Abbott Laboratories,a2r69000007laPF,BIOLINE Strep A,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Streptococcus pyogenes (Group A),Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,10,Abbott Park,Yes,United States,"Abbott Park, United States",41.71919632,-87.62211609
25.05.2023,TECHLAB,a2r69000007laOh,TOX A/B QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
25.05.2023,Abbott Laboratories,a2r69000007laPI,BinaxNOW Legionella Urinary Antigen Card,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Immunoassay,ID,Lower Respiratory Tract Infections,NA,https://abbott.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram-),Legionella pneumophila,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Urine,NA,15,Abbott Park,Yes,United States,"Abbott Park, United States",41.71919632,-87.62211609
25.05.2023,TECHLAB,a2r69000007laOg,C. DIFF QUIK CHEK,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://techlab.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,near Point of Care,Intended for professional use only,Stool,NA,30,Blacksburg,Yes,United States,"Blacksburg, United States",37.22578049,-80.4101181
