id,description,filterable,salesforce_name
submission_id,ID,FALSE,Submission ID
performance_detail_submission_id,Performance ID,FALSE,Performance Detail Submission ID
date_of_submission,Date,FALSE,Date of Submission
manufacturer,Manufacturer,TRUE,Organisation Name
submission_title,Assay name,TRUE,Submission Title
target_pathogen,Target Pathogen,FALSE,Target Pathogen
stage_of_development,Stage of development,FALSE,Stage of Development
country,Country,TRUE,Country of Manufacturer
region,Region,TRUE,Region
permalink,Permanent link,FALSE,Website
regulatory_status,Regulatory status,TRUE,Regulatory Approval
sensitivity,Sensitivity,FALSE,Sensitivity (%)
specificity,Specificity,FALSE,Specificity (%)
type_of_technology,Type of technology,TRUE,Type of Technology
assay_target,Assay target,TRUE,Assay Target
target_analyte,Target analyte,TRUE,Target Analyte(s)
technology_principle,Technology principle,TRUE,Technology principle
test_format,Test format,TRUE,Test Format
instrument_requirement,Instrument requirement,TRUE,Instrument requirement
level_of_automation,Level of automation,TRUE,Level of automation
lab_vs_poc,Laboratory/point of care,TRUE,Lab vs. POC
self_testing_self_collection,Self-testing/self-collection,TRUE,Self-testing/Self-Collection
validated_sample_types,Validated sample types,TRUE,Validated Sample Types
time_to_results_excl_prep,Time to result excl sample prep,FALSE,Time to results excl sample prep (mins)
time_to_results_incl_prep,Time to result incl sample prep,FALSE,Time to results incl sample prep (mins)
connectivity_solution,Connectivity,TRUE,Connectivity Solution
find_evaluation,FIND evaluation,FALSE,FIND Evaluation
sc2_alpha,SARS-CoV-2 variant Alpha,FALSE,Impact of SARS-COV-2 Alpha variant
sc2_beta,SARS-CoV-2 variant Beta,FALSE,Impact of SARS-COV-2 Beta variant
sc2_gamma,SARS-CoV-2 variant Gamma,FALSE,Impact of SARS-COV-2 Gamma variant
sc2_delta,SARS-CoV-2 variant Delta,FALSE,Impact of SARS-COV-2 Delta variant
sc2_delta_plus,SARS-CoV-2 variant Delta+,FALSE,Impact of SARS-COV-2 Delta+ variant
sc2_omicron,SARS-CoV-2 variant Omicron,FALSE,Impact of SARS-COV-2 Omicron variant
s_gene_dropout,S gene dropout,TRUE,S gene dropout
scov2_variants,Variant detection,TRUE,SARS-CoV-2 variant(s)
test_to_be_listed_on_finds_web_page,Test listed,FALSE,Test to be listed on FIND's web page?
data_to_be_published_on_finds_web_page,Data published,FALSE,Data to be published on FIND's web page
is_this_a_variant_detection_test,Variant detection test,FALSE,Is this a variant detection test?
revoked_not_approved_by,Not approved,FALSE,Revoked/Not Approved By
study_type,Study type,FALSE,Study Type
number_of_positive_samples,Number of positive samples,FALSE,Number of positive samples
number_of_negative_samples,Number of negative samples,FALSE,Number of negative samples
total_number_of_samples,Total number of samples,FALSE,Total number of samples
no_expected_impact,No expected impact,FALSE,No expected impact (in silico analyses)
potential_impact,Potential impact,FALSE,Potential impact (in silico analyses)
no_impact,No impact,FALSE,No impact (analytical/clinical studies)
impact,Impact,FALSE,Impact (analytical/clinical studies)
alpha,Alpha variant,TRUE,Alpha
beta,Beta variant,TRUE,Beta
delta,Delta variant,TRUE,Delta
delta_plus,Delta+ variant,TRUE,Delta+
gamma,Gamma variant,TRUE,Gamma
omicron,Omicron variant,TRUE,Omicron
omicron_ba4,Omicron (BA.4) variant,TRUE,Omicron (BA.4)
omicron_ba5,Omicron (BA.5) variant,TRUE,Omicron (BA.5)
