submission_id,manufacturer,submission_title,region,region_availability,disease_target,type_of_technology,assay_target,target_analyte,is_this_a_variant_detection_test,format_of_material_provided,qual_or_quant,storage_temp,permalink
a0B6900001PDvjO,Institut Pasteur de Dakar,EQA panel for SARS-CoV-2 Molecular detection,Africa,Other,SARS-CoV-2,Molecular,RNA,Unknown,No,Unknown,Qualitative,NA,NA
a0B6900001PDviq,AB ANALITICA,Viral EQA - SAR-COV-2,Europe,Global,SARS-CoV-2,Molecular,RNA,Whole Genome; Other,No,Liquid sample,Qualitative,minus 20°C,http://SARS-CoV-2 EQA Study Programme | AB ANALITICA - Advanced Biomedicine
a0B6900001PDvir,American Proficiency Institute,SARS-CoV-2 swab (molecular),Americas,Americas,SARS-CoV-2,Molecular,RNA,Whole Genome,No,Swab,Qualitative,NA,http://SARS.pdf (jspargo.com)
a0B6900001PDvis,American Proficiency Institute,SARS-CoV-2 liquid (molecular),Americas,Americas,SARS-CoV-2,Molecular,RNA,Whole Genome,No,Liquid sample,Qualitative,NA,http://SARS.pdf (jspargo.com)
a0B6900001PDvjV,American Proficiency Institute,SARS-CoV-2 Antigen,Americas,Americas,SARS-CoV-2,Immunoassay,Antigen,SARS-CoV-2 Antigen,No,Unknown,Qualitative,NA,http://SARS.pdf (jspargo.com)
a0B6900001PDvjW,American Proficiency Institute,SARS-CoV-2 Serology,Americas,Americas,SARS-CoV-2,Immunoassay,Antibody (serological),IgG; IgM; IgA; Total Antibody,No,Liquid sample,Qualitative,NA,http://SARS.pdf (jspargo.com)
a0B6900001PDvlP,Controllab Quality Control for Laboratories ltd.A.,Coronavirus TLR (SARS-CoV2) - Antigen,Americas,Americas,SARS-CoV-2,Immunoassay,Antigen,SARS-CoV-2 Antigen,No,Lyophilised sample,Qualitative,2-8°C,http://Covid-19: Complete Quality Control Solutions (controllab.com)
a0B6900001PDvmO,Irish External Quality Assessment Scheme (IEQAS),"Scheme 5677 SARS-CoV-2, antibody detection",Europe,Europe,SARS-CoV-2,Immunoassay,Antibody (serological),IgG; IgM,No,Unknown,Qualitative,NA,"http://SARS-CoV-2, antibody detection (ieqas.ie)"
a0B6900001PDvmP,Labquality,"SARS-CoV-2, antigen detection",Europe,Global,SARS-CoV-2,Immunoassay,Antigen,N-protein,No,Swab,Qualitative,NA,"http://SARS-CoV-2, antigen detection | Labquality"
a0B6900001PDvmQ,Labquality,"SARS-CoV-2, antibodies",Europe,Global,SARS-CoV-2,Immunoassay,Antibody (serological),IgG; IgM; IgA,No,Liquid sample,Qualitative,NA,"http://SARS-CoV-2, antibodies | Labquality"
a0B6900001PDvmS,Labquality,"SARS-CoV-2, nucleic acid detection",Europe,Global,SARS-CoV-2,Molecular,RNA,Whole Genome,No,Liquid sample,Qualitative,NA,"http://SARS-CoV-2, nucleic acid detection | Labquality"
a0B6900001PDvmU,"LGC ltd., Inc",SARS-CoV-2 Antigen - proficiency testing,Europe,Global,SARS-CoV-2,Immunoassay,Antigen,N-protein,No,Liquid sample,Qualitative,NA,http://SARS-CoV-2 (SAR) Reference Materials | LGC Standards
