Assay name,Manufacturer,Website,Country,Stage of development,Regulatory status,Type of technology,Test Format,Target analyte,Lab vs. POC,Validated sample types
Applied Biological Technologies Real-time PCR Detection kit for Monkeypox virus,"Beijing Applied Biological Technologies Co., ltd.",[http://x-abt.com](http://x-abt.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Oropharyngeal swab; Nasal swab; Saliva; Urine; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid
AutoMolec Monkeypox,"AUTOBIO DIAGNOSTICS CO., ltd.",[http://autobio.com.cn](http://autobio.com.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Serum; Lesion crusts
"Differentiation of variola, monkeypox, and varicella-zoster viruses  QPCR",State Research Center of Virology and Biotechnology “VECTOR”,[http://doi.org/10.1016/j.jviromet.2016.07.024](http://doi.org/10.1016/j.jviromet.2016.07.024),Russian Federation,Validation,Unknown,Molecular,NAT reagent kit – open source,MPX B7R gene; Other,Lab-based,Unknown
Ebola virus + Monkeypox virus Real Time PCR Kit,Genekam,[http://genekam.de](http://genekam.de),Germany,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
FastPlex  MonkeyPox Virus Real Time PCR Kit,PreciGenome llc,[http://precigenome.com](http://precigenome.com),United States,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Other,Lab-based,Unknown
Human Monkeypox Virus (MPV) ELISA Kit,MyBiosource.com,[http://mybiosource.com](http://mybiosource.com),United States,Research Use Only (RUO),Unknown,Immunoassay,Reagent Kit,Unknown,Lab-based,Serum; Plasma
HuPox mmPCR system,Robert Koch Institute,[http://doi.org/10.1016/j.mcp.2009.10.008](http://doi.org/10.1016/j.mcp.2009.10.008),Germany,Validation,Unknown,Molecular,Cartridge-based processing,Unknown,Lab-based,Unknown
JOYSBIO Monkeypox IgM/IgG Antibody Rapid Test Kit,Joysbio Biotechnology Co ltd.,[http://en.joysbio.com](http://en.joysbio.com),China,Research Use Only (RUO),Unknown,Immunoassay,Rapid diagnostic test (strip or cassette),IgG; IgM,True Point of Care,Finger prick blood
JOYSBIO Monkeypox Rapid Test Kit,Joysbio Biotechnology Co ltd.,[http://en.joysbio.com](http://en.joysbio.com),China,Research Use Only (RUO),CE-IVD,Immunoassay,Rapid diagnostic test (strip or cassette),Unknown,True Point of Care,Lesion fluid
Med-Tec monkeypox virus nucleic acid detection kit,"Jiangsu Macro & Micro-Test Med-Tech Co., ltd.",[http://hongweitest.cn](http://hongweitest.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Monkeypox - LightMix Modular Assay,TIB Molbiol/Roche Diagnostics,[http://tib-molbiol.de](http://tib-molbiol.de),United States,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Monkeypox virus nucleic acid detection kit (fluorescence PCR method) ,"Da An Gene Co., ltd. Of Sun Yat-Sen University",[http://daangene.com](http://daangene.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Purified DNA
monkeypox virus nucleic acid detection kits,Guangzhou Hybribio Medicine Technology ltd.,[http://hybribio.cn](http://hybribio.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Monkeypox virus Nucleic Acid Diagnostic Kit,Sansure Biotech Inc.,[http://Sansureglobal.com](http://Sansureglobal.com),China,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Monkeypox Virus PCR Kit,Bioactiva diagnostica GmbH ,[http://bioactiva.com](http://bioactiva.com),Germany,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Other,Lab-based,Purified DNA
Monkeypox Virus Real Time PCR Kit,Creative Biogene,[http://creative-biogene.com](http://creative-biogene.com),United Kingdom,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Serum; Lesion fluid
Monkeypox Virus Real Time PCR Kit,Genekam,[http://genekam.de](http://genekam.de),Germany,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Monkeypox Virus Real Time PCR Kit,"Jiangsu Bioperfectus Technologies Co., ltd.",[http://bioperfectus.com](http://bioperfectus.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,MPX F3L gene,Lab-based,Nasopharyngeal swab; Serum; Whole Blood; Lesion crusts; Lesion fluid; Tonsillar swab
Monkeypox Virus Real Time PCR Kit - Veterinary Use Only,"Jiangsu Bioperfectus Technologies Co., ltd.",[http://bioperfectus.com](http://bioperfectus.com),China,Regulatory Achieved,Unknown,Molecular,NAT reagent kit – open source,MPX F3L gene,Lab-based,Serum; Other
Monkeypox Virus Real Time PCR Reagent III/IV,Liferiver Bio-Tech (United States) Corp.,[http://liferiverbiotech.com](http://liferiverbiotech.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Purified DNA
Monkeypox Virus Real Time PCR Reagent kit I/II,Liferiver Bio-Tech (United States) Corp.,[http://liferiverbiotech.com](http://liferiverbiotech.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Purified DNA
Monkeypox Virus Real-time PCR Kit - Lyophilized Type,"Getein Biotech, Inc.",[http://en.bio-gp.com.cn](http://en.bio-gp.com.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Serum; Lesion fluid
Monkeypox Virus Real-time PCR Kit -Non-Lyophilized Type,"Getein Biotech, Inc.",[http://en.bio-gp.com.cn](http://en.bio-gp.com.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Serum; Lesion fluid
Monkeypox virus test kit,"BGI PathoGenesis Pharmaceutical Technology Co.,ltd.",[http://bgi.com](http://bgi.com),China,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
MPX-RPA assay,"Institute of Microbiology and Virology, Brandenburg Medical School Theodor Fontane",[http://mhb-fontane.de](http://mhb-fontane.de),Germany,Validation,Unknown,Molecular,Cartridge-based processing,MPX G2R gene,near Point of Care,Whole Blood
MPXV by LAMP,"National Institute of Infectious Diseases, Japan",[http://doi.org/10.1002/jmv.21494](http://doi.org/10.1002/jmv.21494),Japan,Validation,Unknown,Molecular,Cartridge-based processing,MPX ATI gene,Lab-based,Unknown
"Multicolour, multiplex qPCR for the detection of poxviruses",Robert Koch Institute,[http://doi.org/10.1016/j.mcp.2009.10.008](http://doi.org/10.1016/j.mcp.2009.10.008),Germany,Validation,Unknown,Molecular,NAT reagent kit – open source,Other,Lab-based,Unknown
New Scen Monkeypox IgG/IgM Rapid Test Cassette,"NewScen Coast Bio-Pharmaceutical Co., ltd.",[http://newscenbiotech.com](http://newscenbiotech.com),China,Research Use Only (RUO),Unknown,Immunoassay,Rapid diagnostic test (strip or cassette),IgG; IgM,True Point of Care,Serum; Plasma; Whole Blood
New Scen Monkeypox IgG/IgM Rapid Test Cassette - self-testing,"NewScen Coast Bio-Pharmaceutical Co., ltd.",[http://newscenbiotech.com](http://newscenbiotech.com),China,Research Use Only (RUO),Unknown,Immunoassay,Rapid diagnostic test (strip or cassette),IgG; IgM,True Point of Care,Serum; Plasma; Whole Blood
Orthopox BioThreat Alert,Tetracore Inc.,[http://tetracore.com](http://tetracore.com),China,Research Use Only (RUO),Unknown,Immunoassay,Rapid diagnostic test (strip or cassette),Unknown,near Point of Care,Lesion fluid
Orthopoxviruses - LightMix Modular Assay,TIB Molbiol/Roche Diagnostics,[http://tib-molbiol.de](http://tib-molbiol.de),United States,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Orthopoxviruses - LightMix Modular Assay - RUO,TIB Molbiol/Roche Diagnostics,[http://tib-molbiol.de](http://tib-molbiol.de),United States,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
Rapid Real time PCR Kit for Monkeypox Virus,"Shenzhen Uni-Medica Technology CO.,ltd.",[http://unimed-global.com](http://unimed-global.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,MPX F3L gene,Lab-based,Serum; Lesion crusts; Lesion roof; Lesion fluid
RealStar Orthopoxvirus PCR Kit 1.0 RUO,altona Diagnostics GmbH,[http://altona-diagnostics.com](http://altona-diagnostics.com),Germany,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Purified DNA
Recombivirus Monkey Anti-monkeypox IgG ELISA kit,Alpha Diagnostic International,[http://4adi.com](http://4adi.com),United States,Research Use Only (RUO),Unknown,Immunoassay,Reagent Kit,MPX IgG,Lab-based,Unknown
Reetoo Monkeypox Virus Real Time PCR Kit,"Shenzhen Reetoo Biotechnology Co.,Ltd.",[http://en.reetoo.com](http://en.reetoo.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
TaqManTM Microbial Assay – single tube protocol,ThermoFisher Scientific,,United States,Research Use Only (RUO),Unknown,Molecular,NAT reagent kit – open source,MPX F3L gene; Other,Lab-based,Saliva
Techstar Monkeypox Lyophilized Detection Kit,"Wuxi Techstar Technology Co.,Ltd.",[http://techstarbio.com](http://techstarbio.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
u-card dx monkeypox virus test,"Guangzhou Wondfo Biotech Co., ltd.",[http://Wondfo.com.cn](http://Wondfo.com.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – proprietary platform,Unknown,near Point of Care,Unknown
VivaDia Monkeypox Virus Nucleic Acid Detection Kit,"VivaChek Biotech (Hangzhou) Co., ltd.",[http://vivachek.com](http://vivachek.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Oropharyngeal swab; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid
Wondfo Monkeypox real-timePCR assay,"Guangzhou Wondfo Biotech Co., ltd.",[http://Wondfo.com.cn](http://Wondfo.com.cn),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
ZJ Bio-Tech Monkeypox Virus Real Time PCR Kit,"Shanghai ZJ Bio-Tech Co., ltd.",[http://liferiverbiotech.com](http://liferiverbiotech.com),China,Regulatory Achieved,CE-IVD,Molecular,NAT reagent kit – open source,Unknown,Lab-based,Unknown
