disease_target,manufacturer,submission_id,submission_title,country,region,type_of_technology,stage_of_development,regulatory_status,target_pathogen,serovar_subtype,assay_target,target_analyte,test_format,lab_vs_poc,validated_sample_types,city,instrument_name,test_to_be_listed_on_finds_web_page,permalink,country_tmp,city2,lat,lng
Mpox,Centers for Disease Control and Prevention,a2r69000007lbE0,Real-time PCR monkeypox virus West African and Congo Basin strain DNA,United States,Region of the Americas,Molecular,Validation,None,Mpox virus,Unspecified,DNA,Other,NAT reagent kit (open source),Lab-based,Unknown,Atlanta,NA,Yes,https://cdc.gov,United States,"Atlanta, United States",33.7485466,-84.39150238
Ebola virus disease,"Chembio Diagnostic Systems, Inc.",a2r69000007lbLk,DPP Ebola-Malaria Antigen System,United States,Region of the Americas,Immunoassay,Validation,Unknown,Ebola virus,Ebola spp.,Antigen,EBOV viral matrix protein 40,Rapid diagnostic test (strip or cassette),True Point of Care,Finger prick blood; Plasma; Venous blood; Whole Blood,Medford,DPP Micro Reader,Yes,https://chembio.com,United States,"Medford, United States",42.3265419,-122.87218475
Ebola virus disease,Coris BioConcept,a2r69000007lbLl,EBOLA Ag K-SeT,Belgium,European Region,Immunoassay,Validation,Unknown,Ebola virus,Zaire ebolavirus,Antigen,EBOV viral matrix protein 40,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Gembloux,NA,Yes,https://corisbio.com,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
Mpox,"Institute of Microbiology and Virology, Brandenburg Medical School Theodor Fontane",a2r69000007lbow,MPX-RPA assay,Germany,European Region,Molecular,Validation,None,Mpox virus,Unspecified,DNA,MPX G2R gene,Cartridge-based processing,Lab-based,Whole Blood,Brandenburg,NA,Yes,https://mhb-fontane.de,Germany,"Brandenburg, Germany",52.40841675,12.56249237
Mpox,"National Institute of Infectious Diseases, Japan",a2r69000007lboy,MPXV by LAMP,Japan,Western Pacific Region,Molecular,Validation,None,Mpox virus,Unspecified,DNA,MPX ATI gene,Cartridge-based processing,Lab-based,Unknown,Tokyo,NA,Yes,https://niid.go.jp,Japan,"Tokyo, Japan",35.68955231,139.69181824
Cowpox; Mpox; Pox diseases (unspecified); Smallpox disease,Robert Koch Institute,a2r69000007lbpf,"Multicolour, multiplex qPCR for the detection of poxviruses",Germany,European Region,Molecular,Validation,None,Mpox virus; Orthopoxvirus; Vaccinia virus; Variola virus,Unspecified,DNA,Other,NAT reagent kit (open source),Lab-based,Unknown,Berlin,NA,Yes,https://rki.de,Germany,"Berlin, Germany",52.52342987,13.41143608
Mpox; Other; Smallpox disease,State Research Center of Virology and Biotechnology,a2r69000007lbs4,"Differentiation of variola, monkeypox, and varicella-zoster viruses QPCR",Russian Federation,European Region,Molecular,Validation,None,Mpox virus; Vaccinia virus; Variola virus,Unspecified,DNA,MPX B7R gene; Other,NAT reagent kit (open source),Lab-based,Unknown,Koltsovo,NA,Yes,https://vector-best.ruen,Russian Federation,"Koltsovo, Russian Federation",54.93888855,83.18332672
Dengue,Abbott Laboratories,a2r69000007lbb1,Panbio Dengue Duo,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Dengue,Abbott Laboratories,a2r69000007lbch,SD BIOLINE Dengue NS1 Ag (also known as NS1 Bioeasy immunochromatographic strip,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Dengue,Abbott Laboratories,a2r69000007lbcg,SD BIOLINE Dengue Duo (Dengue NS1 AG + IgG;IgM),United States,Region of the Americas,Immunoassay,Regulatory Achieved,Brazil ANVISA; CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Dengue,Abbott Laboratories,a2r69000007lbbJ,Panbio Dengue Early Rapid Test,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Enteric fever; Typhoid fever,Abbott Laboratories,a2r69000007lbbK,Bioline Salmonella typhi IgG/IgM Fast,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Dengue,Abbott Laboratories,a2r69000007lbax,Bioline Dengue IgG;IgM,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Abbott Park,NA,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
Mpox,Abbott Laboratories,a2r69000007lbm4,Alinity m MPXV,United States,Region of the Americas,Molecular,Regulatory Achieved,US FDA EUA,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (proprietary platform),Lab-based,Other,Abbott Park,Abbott ALINITY m Molecular System,Yes,https://abbott.com,United States,"Abbott Park, United States",41.71919632,-87.62211609
