Submission ID,Performance Detail Submission ID,Date of Submission,Organisation Name,Submission Title,Disease Target,Stage of Development,Country of Manufacturer,Region,Website,Regulatory Approval,Clinical Sensitivity (%),Clinical Specificity (%),Type of Technology,Assay Target,Target Analyte(s),Technology principle,Test Format,Instrument requirement,Level of automation,Lab vs. POC,Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),Time to results incl sample prep (mins),Connectivity Solution,FIND Evaluation,Impact of SARS-COV-2 Alpha variant,Impact of SARS-COV-2 Beta variant,Impact of SARS-COV-2 Gamma variant,Impact of SARS-COV-2 Delta variant,Impact of SARS-COV-2 Delta+ variant,Impact of SARS-COV-2 Omicron variant,S gene dropout,SARS-CoV-2 variant(s),Test to be listed on FIND's web page?,Data to be published on FIND's web page,Is this a variant detection test?,Revoked/Not Approved By,Study Type,Number of positive samples (clinical),Number of negative samples (clinical),Total number of samples (clinical)
a0B6900001Ll6B6,a266900000AksDj,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksDk,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksDv,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksE7,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksE8,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksE9,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksEA,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001Ll6B6,a266900000AksED,2021-01-11,Typhoid Meta-review,Typhoid Meta-Review-Unfound tests,Typhoid,-,-,-,-,-,-,-,Immunoassay,-,-,Other,Unspecified,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,-,-,-,"No, I would like the test information for FIND’s internal use only",Yes,-,-,-,NA,NA,NA
a0B6900001J3zIK,a266900000B3K3a,2021-02-04,"Beijing Tigsun Diagnostics Co.,ltd.",Tigsun COVID-19 Antigen Rapid Test,SARS-CoV-2,Regulatory Achieved,China,Western Pacific,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ftigsun.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://tigsun.com (New Window)"">http://tigsun.com</a>",CE-IVD,52.90 %,-,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,20,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",No,No,None,Independent,36,34,70
a0B6900001Ll41r,a266900000AjEzJ,NA,Avacta Life Sciences ltd.,AffiDX® SARS-CoV-2 Antigen Lateral Flow Test,SARS-CoV-2,Regulatory Achieved,United Kingdom,Europe,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Favacta.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://avacta.com (New Window)"">http://avacta.com</a>",CE-IVD; MHRA UK,98.00 %,99.00 %,Immunoassay,Antigen,S-protein (type unknown),Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,20,25,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No impact (analytical/clinical studies conducted),Unknown,No expected impact (in silico analyses),Not applicable,-,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Independent,98,102,200
