"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Website","Parent Submission: Regulatory Approval","Clinical Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Clinical Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000A9wFQ","01.05.2021","3B BlackBio Biotech India ltd.","TRURAPID COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","India","South-East Asia","https://www.3bblackbio.com","CE-IVD","90.26","84.44","94.45","99.05","97.25","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Nasal swab","15.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIV","","A. Menarini Diagnostics","ANTIGEN RAPID TEST CASSETTE SARS-COV-2 (SWAB)","SARS-CoV-2","Regulatory Achieved","United Kingdom","Europe","www.menarinidiagnostics.com","CE-IVD","96.72","","","99.22","","","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7G","05.03.2021","AAZ-LMB","COVID-VIRO","SARS-CoV-2","Regulatory Achieved","France","Europe","https://www.covid19aaz.com/en/rapide-antigenic-test/","CE-IVD","96.60","93.30","99.80","100.00","93.50","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjh","","Abbott","BinaxNOW COVID-19 Antigen Self Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA; Health Canada","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhji","","Abbott","BinaxNOW COVID-19 Ag Card Home Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjj","","Abbott","BinaxNOW COVID-19 Ag Card 2 Home Test","SARS-CoV-2","Regulatory Status Unknown","United States","Americas","http://www.abbott.com/index.htm","Unknown","91.70","73.00","98.90","100.00","87.70","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","US FDA EUA"
"a266900000Auhjk","","Abbott","BinaxNOW COVID-19 Ag 2 Card","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://www.abbott.com/index.htm","US FDA EUA","84.60","76.80","90.60","98.50","96.60","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE0","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; CE-IVD","91.40","85.50","95.50","99.80","98.80","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wE1","06.04.2021","Abbott Diagnostics Korea Inc.","Panbio COVID-19 Ag Rapid Test Device (Nasal)","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","WHO EUL; Japan MHLW; Australia TGA; Health Canada; Singapore HSA; CE-IVD","98.10","93.20","99.80","99.80","98.60","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","Yes","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wC0","30.03.2021","Abbott Diagnostics Korea Inc.","BinaxNOW COVID-19 Ag Card","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","https://www.abbott.com/","US FDA EUA; Health Canada","84.60","76.80","90.60","98.50","96.60","99.50","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","Unknown","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
