"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Parent Submission: Primary Use Case","Parent Submission: Product reference / catalogue number","Parent Submission: Antibody Target","Parent Submission: Other Antibody Target","Type of data source","Data included in IFU?"
"a2669000009j2Ld","13/07/2022","13/07/2022","INSTITUTO DE BIOLOGIA MOLECULAR DO PARANÁ – IBMP","Kit NAT Chagas","Chagas Disease","Regulatory Achieved","Brazil","Americas","","Brazil ANVISA","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","","","","",""
"a266900000BF4X6","23/04/2022","23/04/2022","Atlas Link Technology Co., Ltd.","T.cruzi IgG Chagas Test cassette","Chagas Disease","Regulatory Achieved","China","Western Pacific","atlas-link.com","Bolivia AGEMED","92.90","99.00","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","CHAG 492","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF6JE","23/04/2022","","Abbott","Architect Chagas","Chagas Disease","Regulatory Achieved","United States","Americas","https://www.corelaboratory.abbott/us/en/offerings/brands/architect","Brazil ANVISA; Colombia INVIMA","98.44","97.96","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","Chemiluminescent Immunoassay (CLIA)","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Unknown","","Yes","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","na","Unspecified","","Published scientific article","No"
"a266900000BF6JM","23/04/2022","","Artron Laboratories Inc.","Chagas Antibody Test Cassette","Chagas Disease","Regulatory Achieved","Canada","Americas","artronlab.com","CE-IVD; Colombia INVIMA; Paraguay DINAVISA","98.50","100.00","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Triage/Screening","A03-33-222","Unspecified","","Other","No"
"a266900000BF6JR","23/04/2022","","Laboratorios Silanes, S.A. de C.V.","Chagas Instantest","Chagas Disease","Regulatory Achieved","Mexico","Americas","silanes.com.mx","Mexico COFEPRIS","79.60","79.00","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma","30.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Unspecified","","Published scientific article","No"
"a266900000BF6Iu","23/04/2022","","Werfen","BioELISA Chagas","Chagas Disease","Regulatory Achieved","Spain","Europe","https://www.werfen.com/oem/bioelisa-chagas","Colombia INVIMA; Chile ANAMED","100.00","99.23","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","100.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","na","Unspecified","","Published scientific article","No"
"a266900000BF4XO","23/04/2022","","Creative Diagnostics","Chagas Ab Rapid Test","Chagas Disease","Research Use Only (RUO)","United States","Americas","creative-diagnostics.com","None","","","Immunoassay","Antibody (serological)","Chagas Total Antibody","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum","10.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","DTS204","Unspecified","","Company website","No"
"a266900000BF4XQ","23/04/2022","","BluSense Diagnostics","ViroTrack Chagas test","Chagas Disease","Concept","Denmark","Europe","blusense-diagnostics.com","None","","","Immunoassay","Antibody (serological)","Unknown","Agglutination","Cartridge-based processing","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","10.00","Yes","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","T.cruzi specific recombinant antigen","",""
"a266900000BF4XR","23/04/2022","","Kephera Diagnostics, llc","Chagas Disease- Rapid Test","Chagas Disease","Concept","United States","Americas","kephera.com","None","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Whole Blood","","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Monitoring (treatment, immune status, patient)","na","Unspecified","","",""
"a266900000BF4XW","23/04/2022","","Kephera Diagnostics, llc","Chagas Disease Rapid Test based on TESA antigen","Chagas Disease","Early Stage Development (partial prototype)","United States","Americas","kephera.com","None","","","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Unknown","100.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Other","TESA (trypanosome excreted-secreted antigens)","",""
"a266900000BF4XX","23/04/2022","","Hangzhou AllTest Biotech Co.,ltd.","Chagas Rapid Test Cassette (S/P)","Chagas Disease","Regulatory Achieved","China","Western Pacific","alltests.com.cn","CE-IVD; Bolivia AGEMED","92.90","99.00","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","ICHA-302","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4XY","23/04/2022","","Acro Biotech Inc.","Chagas Rapid Test Cassette S/P","Chagas Disease","Regulatory Achieved","United States","Americas","acrobiotech.com","CE-IVD; Bolivia AGEMED","92.90","99.00","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","ICHA-302","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4XZ","23/04/2022","","Rapid Labs ltd.","Chagas Ab Rapid Test","Chagas Disease","Regulatory Achieved","United Kingdom","Europe","rapidlabs.co.uk","CE-IVD; Bolivia AGEMED; Ecuador ARCSA","92.90","98.40","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","D-CHABD20","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4Xa","23/04/2022","","Hangzhou AllTest Biotech Co.,ltd.","Chagas Rapid Test Cassette (WB/S/P)","Chagas Disease","Regulatory Achieved","China","Western Pacific","alltests.com.cn","CE-IVD; Bolivia AGEMED; Ecuador ARCSA","92.90","98.40","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","ICHA-402","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4Xb","23/04/2022","","Biozek Medical","Chagas Rapid Test Cassette- WB/S/P","Chagas Disease","Regulatory Achieved","Netherlands","Europe","biozek.com","CE-IVD; Bolivia AGEMED; Ecuador ARCSA","92.90","98.40","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","BCHA-402","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4Xc","23/04/2022","","Acro Biotech Inc.","Chagas Rapid Test Cassette- WB/S/P","Chagas Disease","Regulatory Achieved","United States","Americas","acrobiotech.com","CE-IVD; Bolivia AGEMED; Ecuador ARCSA","92.90","98.40","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Finger prick blood; Venous blood","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","ICHA-402","Other","T.cruzi specific recombinant antigen","Instructions for Use (IFU)","Yes"
"a266900000BF4Xd","23/04/2022","","Progenie Molecular S.L.U.","RealCycler CHAG","Chagas Disease","Regulatory Achieved","Spain","Europe","https://www.progenie-molecular.com/en/Service_Diagnostics_Infectious_Diseases_IN.html","Unknown","","","Molecular","DNA","Satellite DNA","qPCR","NAT reagent kit – proprietary platform","A proprietary instrument/new instrument  (optional)","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","Unknown","","na","","","",""
"a266900000BF4Xe","23/04/2022","","Eiken Chemical Co., Ltd.","LAMP assay","Chagas Disease","Early Stage Development (partial prototype)","Japan","Western Pacific","https://www.eiken.co.jp/en/products/lamp/","None","","","Molecular","DNA","Unknown","LAMP","IA Reagent Kit","Standard lab instrumentation is required","Manual","near Point of Care","Intended for professional use only","Unknown","","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","na","Unspecified","","",""
"a266900000BF4Xf","23/04/2022","","Genesig Primerdesign","T. cruzi primers (Kit format)","Chagas Disease","Research Use Only (RUO)","United Kingdom","Europe","https://www.genesig.com/products/9427-trypanosoma-cruzi","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","Unknown","","na","","","",""
"a266900000BF4Xg","23/04/2022","","altona Diagnostics GmbH","RealStar Chagas PCR Kit","Chagas Disease","Regulatory Achieved","Germany","Europe","https://www.altona-diagnostics.com/en/products/reagents-140/reagents/realstar-real-time-pcr-reagents/realstar-chagas-pcr-kit-ce-175.html","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","611013","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Xh","23/04/2022","","CerTest Biotec S.L.","VIASURE Trypanosoma cruzi Real Time PCR Detection Kit","Chagas Disease","Regulatory Achieved","Spain","Europe","https://www.certest.es/products/trypanosoma-cruzi-chagas/","CE-IVD","","","Molecular","DNA","Satellite DNA","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma; Whole Blood","70.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Xi","23/04/2022","","DIA.PRO Diagnostic Bioprobes S.r.l.","TCRUZIDNA.CE","Chagas Disease","Regulatory Achieved","Italy","Europe","https://www.diapro.it/products/trypanosoma-cruzi-dna-pcr/","CE-IVD","100.00","100.00","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","TCRUZIDna.CE.25 TCRUZIDna.CE.100 TCRUZIDna.CE.150","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Xj","23/04/2022","","Wiener Lab","T. cruzi DNA qPCR kit","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.wiener-lab.com/SitePages/HomePortal.aspx","CE-IVD; Argentina ANMAT","81.82","98.70","Molecular","DNA","Satellite DNA","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","na","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Xk","23/04/2022","","Vivantis Technologies Sdn Bhd","ViPrimePLUS Trypasoma cruzi qPCR kit","Chagas Disease","Research Use Only (RUO)","Malaysia","Western Pacific","http://www.vivantechnologies.com/index.php?option=com_content&view=article&id=647:viprimeplus-trypanosoma-cruzi-qpcr-kit&Itemid=98","None","","","Molecular","RNA","Chagas 18S rRNA","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","QM4018","Unspecified","","Instructions for Use (IFU)","Yes"
"a266900000BF4Vy","23/04/2022","","Wiener Lab","Chagatest ELISA lisado","Chagas Disease","Regulatory Achieved","Argentina","Americas","https://www.wiener-lab.com/EN/SitePages/Chagas.aspx","Brazil ANVISA; CE-IVD; Colombia INVIMA; Ecuador ARCSA","100.00","99.29","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","95.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Diagnostic/confirmatory test","1293096 1293192","Other","T.cruzi purified antigens","Instructions for Use (IFU)","Yes"
