"Performance Detail Submission: ID","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Primary Use Case","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Revoked/Not Approved By","Reference","Date of study","Type of data source"
"a266900000BBqc0","26/05/2022","Abbott","Monkeypox qPCR test in development","Monkeypox virus","Monkeypox virus","Concept","United States","Americas","abbott.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Unknown","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWL9Y","23/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Monkeypox Virus Fluorescence PCR Kit (Direct qPCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","A proprietary instrument/new instrument  (optional)","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Plasma; Whole Blood; Other","87.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWLAv","24/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Fluorescence PCR Kit(Direct qPCR)","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","0.00","0.00","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Triage/Screening","Plasma; Whole Blood; Lesion fluid","87.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000AWL4s","19/08/2022","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Ag Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://www.abiores.com/en/","CE-IVD","","","Immunoassay","Antigen","MPX Antigen","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Triage/Screening","Serum; Plasma; Whole Blood; Lesion fluid","15.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnai","25/05/2022","Acon Biotech (Hangzhou) Co., ltd.","Promotor Monkeypox Virus Real Time PCR Test Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","aconlabs.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Serum; Lesion crusts; Lesion fluid","50.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCiGB","10/06/2022","Advanced Molecular Diagnostics Ltd","AMD Monkeypox PCR Kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","United Kingdom","Europe","https://am-diagnostics.co.uk/product/monkeypox/","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood; Lesion fluid","401.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","","","",""
"a266900000BBnaa","25/05/2022","Alpha Diagnostic International","Recombivirus Monkey Anti-monkeypox IgG ELISA kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","United States","Americas","https://4adi.com/4adi/recombivirus-monkey-anti-monkeypox-igg-elisa-kit-96-tests-quantitative-30363-p.html","None","","","Immunoassay","Antibody (serological)","MPX IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnas","25/05/2022","altona Diagnostics GmbH","RealStar Orthopoxvirus PCR Kit 1.0 RUO","Orthopoxvirus; Variola virus","Orthopoxvirus","Research Use Only (RUO)","Germany","Europe","https://scope-altona-dx.com/en/products/reagents/realstar-r-orthopoxvirus-pcr-kits.html","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnak","25/05/2022","Autobio Diagnostics Co., Ltd","Anti-Monkeypox Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","autobio.com.cn","CE-IVD","","","Immunoassay","Antibody (serological)","MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Serum; Plasma; Whole Blood","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnal","25/05/2022","Autobio Diagnostics Co., Ltd","Monkeypox Ag Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","autobio.com.cn","CE-IVD","","","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Diagnostic/confirmatory test","Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BD2c1","17/06/2022","Autobio Diagnostics Co., Ltd","AutoMolec Monkeypox","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","https://en.autobio.com.cn/Client/solutionDetail/fid/22/cid/23/id/63.html","CE-IVD","","","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit – proprietary platform","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Serum; Purified DNA; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BCCWG","01/06/2022","Beijing Applied Biological Technologies Co., Ltd.","Applied Biological Technologies Real-time PCR Detection kit for Monkeypox virus","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","x-abt.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Oropharyngeal swab; Nasal swab; Saliva; Urine; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BCCWH","01/06/2022","Beijing Bohui Innovation Biotechnology","Bohui monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bohui-tech.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a2669000009j2a2","26/07/2022","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Real-time PCR kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","http://en.hotgen.com.cn/product/prom-detail-196.htm","CE-IVD","0.00","0.00","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Monitoring (treatment, immune status, patient)","Oropharyngeal swab; Saliva; Serum; Plasma; Lesion crusts; Lesion fluid","35.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqd8","26/05/2022","Beijing Hotgen Biotech Co., Ltd","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","hotgen.com.cn","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a2669000009j2cN","27/07/2022","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Antigen Rapid Test","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","hotgen.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","Other","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Monitoring (treatment, immune status, patient)","Oropharyngeal swab; Saliva; Serum; Plasma; Whole Blood; Lesion crusts; Lesion fluid","20.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBqd9","26/05/2022","Beijing Lepu Medical Technology Co., ltd.","monkeypox virus nucleic acid detection kits","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","lepumedical.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BCCWA","01/06/2022","Beijing Zhongjian Antai Diagnostic Technology Co.,Ltd.","Antai monkeypox virus nucleic acid detection kit","Monkeypox virus","Monkeypox virus","Regulatory Achieved","China","Western Pacific","bjzjat.com","CE-IVD","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Other"
"a266900000BClj6","13/06/2022","BGI Health (HK) Co.Ltd","Monkeypox Virus Nucleic Acid Detection KitFluorescent PCR","Monkeypox virus","Monkeypox virus","Regulatory Achieved","Hong Kong SAR, China","Western Pacific","https://www.bgi.com/global/home","CE-IVD","","","Molecular","DNA","MPX B7R gene; MPX F3L gene","Other","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Nasopharyngeal swab; Oropharyngeal swab; Serum; Lesion fluid; Other","45.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","","Instructions for Use (IFU)"
"a266900000BBqIM","26/05/2022","BGI PathoGenesis Pharmaceutical Technology Co.,ltd.","Monkeypox virus test kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","China","Western Pacific","bgi.com","None","","","Molecular","DNA","Unknown","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Unknown","40.00","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
"a266900000BBnab","25/05/2022","Bioactiva diagnostica GmbH ","Monkeypox Virus PCR Kit","Monkeypox virus","Monkeypox virus","Research Use Only (RUO)","Germany","Europe","bioactiva.com","None","","","Molecular","DNA","Other","qPCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Diagnostic/confirmatory test","Purified DNA","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","","",""
