"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a2669000009z9cp","08.08.2022","08.08.2022","1drop Inc.","1copy COVID-19 qPCR 4plex Kit","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","http://www.1drop.co.kr/eng/main/main.php","Korea MFDS; CE-IVD","100.00","100.00","Molecular","RNA","E gene; N gene; RdRp gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AWKpi","02.09.2021","02.09.2021","1drop Inc.","1copy COVID-19 qPCR Multi Kit","SARS-CoV-2","Regulatory Achieved","Korea, Republic of","Western Pacific","http://www.1drop.co.kr/eng/main/main.php","US FDA EUA; Health Canada; CE-IVD; Saudi Arabia SFDA; Other","100.00","100.00","Molecular","RNA","E gene; RdRp gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFQ","01.05.2021","01.05.2021","3B Blackbio Biotech India Ltd.","TRURAPID COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","India","South-East Asia","https://www.3bblackbio.com","CE-IVD","90.26","99.05","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7o","06.03.2021","06.03.2021","3B Blackbio Biotech India Ltd.","TRUPCR SARS-CoV-2 Kit","SARS-CoV-2","Regulatory Achieved","India","South-East Asia","https://www.3bblackbio.com","US FDA EUA; India CDSCO; Other","96.77","96.67","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva","87.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7p","06.03.2021","06.03.2021","3B Blackbio Biotech India Ltd.","TRUPCR SARS-CoV-2 RT qPCR KIT Version 2.0 (I)","SARS-CoV-2","Regulatory Achieved","India","South-East Asia","https://www.3bblackbio.com","CE-IVD","100.00","100.00","Molecular","RNA","E gene; N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva","87.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9cq","02.09.2021","02.09.2021","3D Biomedicine Science & Technology Co., ltd.","3DMed 2019-nCoV RT-qPCR Detection Kit","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.3dmedcare.com/","WHO EUL; CE-IVD","96.00","100.00","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9cr","02.09.2021","02.09.2021","3D Medicines","ANDiS SARS-CoV-2 RT-qPCR Detection Kit","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.3dmedcare.com/","CE-IVD","","","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Other","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIV","28.03.2022","","A. Menarini Diagnostics","ANTIGEN RAPID TEST CASSETTE SARS-COV-2 (SWAB)","SARS-CoV-2","Regulatory Achieved","United Kingdom","Europe","www.menarinidiagnostics.com","CE-IVD","97.42","99.99","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AxPvk","17.01.2022","17.01.2022","A1 Life Sciences","Diagnovital HS SARS-CoV-2 Real Time PCR Kits v2.0/RT PCR","SARS-CoV-2","Regulatory Achieved","Turkey","Europe","","CE-IVD","0.00","0.00","Molecular","RNA","N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","53.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected S-gene drop out (based on in silico analyses)","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w7G","05.03.2021","05.03.2021","AAZ-LMB","COVID-VIRO","SARS-CoV-2","Regulatory Achieved","France","Europe","https://www.covid19aaz.com/en/rapide-antigenic-test/","CE-IVD","96.60","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
