"Submission ID","Performance Detail Submission ID","Created Date","Date of Submission","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Time to results incl sample prep (mins)","Connectivity Solution","FIND Evaluation","Impact of SARS-COV-2 Alpha variant","Impact of SARS-COV-2 Beta variant","Impact of SARS-COV-2 Gamma variant","Impact of SARS-COV-2 Delta variant","Impact of SARS-COV-2 Delta+ variant","Impact of SARS-COV-2 Omicron variant","S gene dropout","SARS-CoV-2 variant(s)","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Is this a variant detection test?","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples"
"a0B6900001PJOeQ","a2669000009z9cp","08.08.2022","08.08.2022","Korea, Republic of","Western Pacific","1drop.co.kr","1drop Inc.","1copy COVID-19 qPCR 4plex Kit","SARS-CoV-2","Regulatory Achieved","Korea MFDS; CE-IVD","Molecular","RNA","E gene; N gene; RdRp gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","110.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","0","0","0"
"a0B6900001Lkled","a266900000AWKpi","02.09.2021","02.09.2021","Korea, Republic of","Western Pacific","1drop.co.kr","1drop Inc.","1copy COVID-19 qPCR Multi Kit","SARS-CoV-2","Regulatory Achieved","US FDA EUA; Health Canada; CE-IVD; Saudi Arabia SFDA; Other","Molecular","RNA","E gene; RdRp gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","110.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","0","0","0"
"a0B6900001J4Aw5","a266900000A9wFQ","01.05.2021","01.05.2021","India","South-East Asia","3bblackbio.com","3B Blackbio Biotech India Ltd.","TRURAPID COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Nasal swab","15.00","20.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","90.26","99.05","154","313","467"
"a0B6900001J3nVa","a266900000A9w7o","06.03.2021","06.03.2021","India","South-East Asia","3bblackbio.com","3B Blackbio Biotech India Ltd.","TRUPCR SARS-CoV-2 Kit","SARS-CoV-2","Regulatory Achieved","US FDA EUA; India CDSCO; Other","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva","87.00","137.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","96.77","96.67","61","60","121"
"a0B6900001J3nVf","a266900000A9w7p","06.03.2021","06.03.2021","India","South-East Asia","3bblackbio.com","3B Blackbio Biotech India Ltd.","TRUPCR SARS-CoV-2 RT qPCR KIT Version 2.0 (I)","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","E gene; N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva","87.00","137.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","100.00","100.00","75","85","160"
"a0B6900001Lklee","a2669000009z9cq","02.09.2021","02.09.2021","China","Western Pacific","3dmedcare.com/","3D Biomedicine Science & Technology Co., ltd.","3DMed 2019-nCoV RT-qPCR Detection Kit","SARS-CoV-2","Regulatory Achieved","WHO EUL; CE-IVD","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","96.00","100.00","","",""
"a0B6900001Lklef","a2669000009z9cr","02.09.2021","02.09.2021","China","Western Pacific","3d-medicines.com","3D Medicines","ANDiS SARS-CoV-2 RT-qPCR Detection Kit","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Other","","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","","","","",""
"a0B6900001LlzR4","a266900000B5QIV","28.03.2022","","United Kingdom","Europe","www.menarinidiagnostics.com","A. Menarini Diagnostics","ANTIGEN RAPID TEST CASSETTE SARS-COV-2 (SWAB)","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","97.42","99.99","0","0","0"
"a0B6900001LlW8S","a266900000AxPvk","17.01.2022","17.01.2022","Turkey","Europe","a1lifesciences.com.tr","A1 Life Sciences","Diagnovital HS SARS-CoV-2 Real Time PCR Kits v2.0/RT PCR","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","53.00","","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected S-gene drop out (based on in silico analyses)","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","0.00","0.00","0","0","0"
"a0B6900001J3nBU","a266900000A9w7G","05.03.2021","05.03.2021","France","Europe","covid19aaz.com/en/rapide-antigenic-test/","AAZ-LMB","COVID-VIRO","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","16.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","96.60","100.00","117","109","226"
"a0B6900001J3nEE","a266900000A9w7L","05.03.2021","05.03.2021","France","Europe","covid19aaz.com/en/rapide-antigenic-test/","AAZ-LMB","COV-QUANTO","SARS-CoV-2","Regulatory Achieved","CE-IVD","Immunoassay","Antigen","N-protein","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","180.00","210.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","93.00","98.40","142","63","205"
"a0B6900001J3mme","a266900000A9w6W","04.03.2021","04.03.2021","Finland","Europe","abacusdiagnostica.com","Abacus Diagnostica Oy","GenomEra SARS-CoV-2 Assay Kit","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","E gene; RdRp gene","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","77.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","90.70","100.00","108","162","270"
"a0B6900001J3mnS","a266900000A9w6X","04.03.2021","04.03.2021","Finland","Europe","abacusdiagnostica.com","Abacus Diagnostica Oy","GenomEra SARS-CoV-2, Flu A/B + RSV Assay Kit","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","RdRp gene","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","77.00","Yes","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","96.30","100.00","27","181","208"
"a0B6900001J3nkw","a266900000A9w8p","08.03.2021","08.03.2021","Italy","Europe","abanalitica.com","AB ANALITICA","REALQUALITY RQ-2019-nCoV","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","E gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","130.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","98.00","99.00","60","65","125"
"a0B6900001J3noi","a266900000A9w8v","08.03.2021","08.03.2021","Italy","Europe","abanalitica.com","AB ANALITICA","REALQUALITY RQ-SARS-CoV-2","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","S gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","130.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","98.10","100.00","111","126","237"
"a0B6900001J3npF","a266900000A9w8y","08.03.2021","08.03.2021","Italy","Europe","abanalitica.com","AB ANALITICA","REALQUALITY ABFlu-CoV-2","SARS-CoV-2","Regulatory Achieved","CE-IVD","Molecular","RNA","N gene; ORF1b","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","70.00","130.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","99.00","99.60","112","299","411"
"a0B6900001PDnl5","a266900000BBn8U","25.05.2022","25.05.2022","United States","Americas","abbott.com","Abbott","SARS-CoV-2 IgG Kit","SARS-CoV-2","Regulatory Achieved","Australia TGA","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","IA Reagent Kit","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","0.00","0.00","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","","","","",""
"a0B6900001PDnl6","a266900000BBn8V","25.05.2022","25.05.2022","United States","Americas","abbott.com","Abbott","SARS-CoV-2 IgM Kit","SARS-CoV-2","Regulatory Achieved","Australia TGA","Immunoassay","Antibody (serological)","IgM","ELISA/EIA","IA Reagent Kit","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Serum; Plasma","0.00","0.00","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None","Company-Sponsored","","","","",""
