Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000A9wFQ,3B BlackBio Biotech India Ltd.,TRURAPID COVID-19 Ag Test,India,CE-IVD,90.26%,84.44%,94.45%,99.05%,97.25%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Nasal swab,15,a266900000A9wFQ
a266900000A9w7G,AAZ-LMB,COVID-VIRO,France,CE-IVD,96.60%,93.30%,99.80%,100.00%,93.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w7G
a266900000Auhjh,Abbott,BinaxNOW COVID-19 Antigen Self Test,United States,US FDA EUA; Health Canada,91.70%,73.00%,98.90%,100.00%,87.70%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhjh
a266900000Auhji,Abbott,BinaxNOW COVID-19 Ag Card Home Test,United States,US FDA EUA,91.70%,73.00%,98.90%,100.00%,87.70%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhji
a266900000Auhjj,Abbott,BinaxNOW COVID-19 Ag Card 2 Home Test,United States,US FDA EUA,91.70%,73.00%,98.90%,100.00%,87.70%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,NA,a266900000Auhjj
a266900000Auhjk,Abbott,BinaxNOW COVID-19 Ag 2 Card,United States,US FDA EUA,84.60%,76.80%,90.60%,98.50%,96.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000Auhjk
a266900000A9wE0,Abbott Diagnostics Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasopharyngeal),United States,WHO EUL; Japan MHLW; Australia TGA; Health Canada; CE-IVD,91.40%,85.50%,95.50%,99.80%,98.80%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wE0
a266900000A9wE1,Abbott Diagnostics Inc.,Panbio COVID-19 Ag Rapid Test Device (Nasal),United States,WHO EUL; Japan MHLW; Korea MFDS; Australia TGA; Health Canada; Singapore HSA; CE-IVD,98.10%,93.20%,99.80%,99.80%,98.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wE1
a266900000A9wC0,Abbott Diagnostics Inc.,BinaxNOW COVID-19 Ag Card,United States,US FDA EUA,84.60%,76.80%,90.60%,98.50%,96.60%,99.50%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wC0
a266900000B2lEj,Abbott Diagnostics Inc.,Panbio COVID-19 Antigen self-test,United States,Australia TGA; Health Canada; Singapore HSA,98.10%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2lEj
