disease_target_phase,primary_use_case,assay_aim,assay_target,target_analyte,drug_resistance_target,other_drug_resistance_target,validated_sample_types,other_validated_sample_type,submission_id,submission_title,manufacturer,country,region,stage_of_development,regulatory_status,other_regulatory_status,target_pathogen,planned_market_entry,type_of_technology,technology_principle,test_format,instrument_requirement,lab_vs_poc,readout_technology,resistance_marker,other_test_format,level_of_automation,self_testing_self_collection,time_to_results_excl_prep,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,target_patient_group,type_data_source,study_type,performance_submission_title,sensitivity,sensitivity_ci_low,sensitivity_ci_up,specificity,specificity_ci_low,specificity_ci_up,total_number_samples,sample_type,number_positive_samples,number_negative_samples,city,permalink,country_tmp,city2,lat,lng,who_technology_class,who_pipe
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (HIV+ patients),42,31,55,91,85,95,3449,Urine,1277,2172,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (overall symptomatic HIV+ patients),42,31,55,91,85,95,3449,Urine,1277,2172,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (overall unselected HIV+ patients),35,22,50,95,89,98,3365,Urine,432,2933,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (symptomatic HIV+ inpatient),52,40,64,87,78,93,2253,Urine,868,1385,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (symptomatic HIV+ outpatient),29,17,47,96,91,99,1196,Urine,409,787,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (unselected HIV+ inpatient),62,41,83,84,48,96,537,Urine,159,378,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Lipoarabinomannan (LAM),Not applicable,NA,Urine,NA,a2r69000007lbEm,Determine TB-LAM Ag,Abbott Rapid Diagnostics,Germany,European Region,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Immunoassay,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,25,Yes,Yes,Active TB,Other,Independent,TB detection from urine (unselected HIV+ outpatient),31,18,47,95,87,99,2828,Urine,273,2555,Groß-Rohrheim,https://globalpointofcare.abbott/en/index.html,Germany,"Groß-Rohrheim, Germany",49.71524811,8.47291756,Low complexity,WHO
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Whole Blood,NA,a2r69000007lb91,IP-10 IGRA LF,R-Biopharm AG,Germany,European Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,near Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Darmstadt,https://r-biopharm.com,Germany,"Darmstadt, Germany",49.87237167,8.6509819,Low complexity,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Whole Blood,heprin,a2r69000007lbFH,IP-10 IGRA ELISA,R-Biopharm AG,Germany,European Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Chemiluminescent Immunoassay (CLIA),Standard lab instrumentation is required,Lab-based,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Darmstadt,https://r-biopharm.com,Germany,"Darmstadt, Germany",49.87237167,8.6509819,Not applicable,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Plasma,NA,a2r69000007lbFL,STANDARD E TB-Feron ELISA,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD; Korea MFDS,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Chemiluminescent Immunoassay (CLIA),Standard lab instrumentation is required,Lab-based,Colorimetric,Private,NA,Manual,Intended for professional use only,100,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Not applicable,Pipe
