submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000BBgkA,"Kaya17, Inc",nCoVega saliva test,Immunoassay,Intended for professional use only,Antigen,Cartridge-based processing,Unknown,Saliva,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,NA,NA,https://kaya17.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBceD,Cepheid,Xpert Xpress CoV-2 plus,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA,100.00 %,96.50 %,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBcf7,"Nexus Medical Labs, LLC",Nexus High Throughput SARS-CoV-2 Assay,Molecular,Intended for self-collection (kit available),RNA,Laboratory-developed test (LDT),N gene; RdRp gene,Nasal swab,Standard lab instrumentation is required,Manual,Laboratory-developed test,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),NA,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,95.70 %,100.00 %,http://www.nexusmedlabs.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBceI,Cepheid,Xpert Xpress CoV-2 plus,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA,100.00 %,100.00 %,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBXXf,OPERON,Real SARS-CoV-2 Plus / RT PCR real time,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,Standard lab instrumentation is required,Manual,Lab-based,70,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,100.00 %,96.80 %,NA,spain,Spain,Europe
a266900000BBIim,Sure Screen Diagnostics,SureScreen SARS-CoV-2 Antigen Rapid test Cassette (Nasal Swab) (Gold),Immunoassay,Intended for self-collection (kit available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,96.10 %,99.00 %,https://surescreen.com,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000BBIir,Sure Screen Diagnostics,Diagnostics SARS-CoV-2 Antigen Rapid Test Cassette with RhinoSwab Junior,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,96.10 %,99.00 %,https://surescreen.com,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000BAssy,PCL inc,PCL SELF TEST - COVID19 Ag,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),Other,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; Health Canada; CE-IVD,94.29 %,99.99 %,http://www.pclchip.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAst3,LGC Biosearch technology,Biosearch Technologies SARS-CoV-2 ultra-high-throughput End-Point RT-PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene,Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,NA,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,100.00 %,96.70 %,https://www.biosearchtech.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BAsuV,"INNOVITA (Tangshan) Biological Technology Co., ltd.",2019 nCoV Ag Test (Latex Chromatography Assay) – Self- test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA,100.00 %,100.00 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000BAsuW,"Assure Tech. (Hangzhou) Co., ltd.",Ecotest COVID-19 Antigen Nasal Test Self Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; CE-IVD,98.10 %,99.40 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000BAf4f,"PHASE Scientific International, ltd.",INDICAID COVID-19 Rapid Antigen At-Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA,91.00 %,99.40 %,https://phasescientific.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BAceI,LG Chem Life Sciences Company,AdvanSure™ SARS-CoV-2 IgG (S1) ELISA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,https://innovation.lgchem.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcd5,"Asan Pharmaceutical Co., ltd.",Asan Easy Test COVID-19 IgG/IgM (N),Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,97.10 %,98.70 %,https://www.asanpharm.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd9f,"iNtRON Biotechnology, Inc.",LiliF COVID-19 Multi Real-time RT-PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; RdRp gene,Purified RNA,Standard lab instrumentation is required,Manual,Laboratory-developed test,120,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd8D,Abbott Diagnostics Korea Inc.,SARS-CoV-2 IgG II Quant Reagent Kit,Immunoassay,Intended for professional use only,Antibody (serological),Chemiluminescent Immunoassay (CLIA),IgG,Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; Australia TGA,99.37 %,NA,https://www.corelaboratory.abbott/int/en/offerings/segments/infectious-disease/sars-cov-2-,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd5Y,"MiCo BioMed Co., ltd.",COVID-19 Biokit IgG/IgM,Immunoassay,Intended for professional use only,Antibody (serological),Unspecified,IgG; IgM,Serum; Plasma,NA,Unknown,Lab-based,NA,NA,NA,NA,NA,NA,NA,NA,Korea MFDS,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAdGC,SML Genetree ltd.,Ezplex SARS-CoV-2 Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; Other,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,150,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,https://www.smlgenetree.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd5O,PCL inc,PCLOK II SARS-CoV-2 Dual IgG,Immunoassay,Intended for professional use only,Antibody (serological),Cartridge-based processing,IgG,Serum; Plasma,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://www.pclchip.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAdGg,"Genomictree, Inc",AccuraDTect™ COVID-19 RT-qPCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAchH,"Wells Bio, Inc.",careUS™ COVID-19 IgM/IgG Ab,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,93.60 %,98.00 %,http://www.wellsbio.net,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcvi,"SG Medical, Inc.",R-FIND COVID-19 IgM ELISA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgM,Serum,A proprietary/new instrument is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,http://www.sgmedical.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcvj,"SG Medical, Inc.",R-FIND COVID-19 IgG/M/A ELISA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG; IgM; IgA,Serum,A proprietary/new instrument is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,NA,NA,http://www.sgmedical.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd2j,PCL inc,PCL SARS-CoV-2 IgG EIA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,A proprietary instrument/new instrument  (optional),Manual,Lab-based,120,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://www.pclchip.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BActr,GenBody Inc.,GenBody COVID-19 IgM/IgG,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Whole Blood,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,91.70 %,97.50 %,https://www.genbody.co.kr/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAd17,AMSBIO,A+CheQ COVID-19 RT-qPCR Detection kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary instrument/new instrument  (optional),Manual,Laboratory-developed test,NA,No,NA,NA,NA,NA,NA,NA,Korea MFDS; CE-IVD,NA,NA,http://amsbio.co.kr/case-study/covid-19-high-speed-rt-qpcr-kit/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000BAcit,SD Biosensor INC,STANDARD F COVID-19 IgM/IgG Combo FIA,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma; Whole Blood,A proprietary/new instrument is required,Manual,near Point of Care,15,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,100.00 %,95.33 %,https://www.sdbiosensor.com/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
