id,description,filterable,include_in_table,raw_id,salesforce_name,salesforce_name_report,area_group,plots_type,default_plot_manufacturers,default_filter_manufacturers,default_table_manufacturers
id,ID,FALSE,FALSE,id,Id,,Manufacturers,,,,
package_id,Package ID,FALSE,FALSE,package_id,Package_Id,,Manufacturers,,,,
performance_id,Performance ID,FALSE,FALSE,performance_id,Performance_Id,,Manufacturers,,,,
assay_id,Assay ID,FALSE,FALSE,assay_id,Package_Assay__c,Assay: Assay ID,Manufacturers,,,,
instrument_id,Instrument ID,FALSE,FALSE,instrument_id,Package_Instrument__c,,Manufacturers,,,,
software_id,Software ID,FALSE,FALSE,software_id,Package_Software__c,,Manufacturers,,,,
technology_submission_id,Technology submission ID,FALSE,FALSE,technology_submission_id,Package_Technology_Submission__c,,Manufacturers,,,,
directory,Directory,FALSE,FALSE,directory,directory,,Manufacturers,,,,
name,Name,FALSE,FALSE,name,Name,,Manufacturers,,,,
assay_name,Assay name,FALSE,FALSE,assay_name,Assay_Name,Assay: Assay Name,Manufacturers,,,,
instrument_name,Instrument name,TRUE,TRUE,instrument_name,Instrument_Name,,Manufacturers,,,,
software_name,Software name,FALSE,FALSE,software_name,Software_Name,,Manufacturers,,,,
package_name,Package name,FALSE,FALSE,package_name,Package_Name,,Manufacturers,,,,
performance_name,Performance name,FALSE,FALSE,performance_name,Performance_Name,,Manufacturers,,,,
find_website_area,Area,FALSE,FALSE,assay_find_website_area,Assay_FIND_Website_Area__c,,Manufacturers,,,,
test_to_be_listed_on_finds_web_page,Test listed,FALSE,FALSE,assay_test_to_be_listed_on_finds_web_page,Assay_Test_to_be_listed_on_find_s_web_page__c,Instrument: Test to be listed on FIND's web page?,Manufacturers,,,,
purpose_of_submission,Purpose of submission,FALSE,FALSE,assay_purpose_of_submission,Assay_Purpose_of_submission__c,,Manufacturers,,,,
confidentiality_level,Confidentiality level,FALSE,FALSE,assay_confidentiality_level,Assay_nx_ConfidentialityLevel__c,,Manufacturers,,,,
disease_target,Disease target,TRUE,TRUE,assay_disease_target,Assay_Disease_Target__c,Instrument: Disease Target,Manufacturers,bar,,5,
type_of_technology,Type of technology,TRUE,TRUE,assay_type_of_technology,Assay_Type_of_Technology__c,Instrument: Type of Technology,Manufacturers,bar,3,6,
technology_principle,Technology principle,TRUE,TRUE,assay_technology_principle,Assay_Technology_principle__c,,Manufacturers,bar,4,7,
lab_vs_poc,Laboratory/point of care,TRUE,TRUE,assay_lab_vs_poc,Assay_Lab_vs_POC__c,,Manufacturers,bar;pie,5,8,
target_pathogen,Target pathogen,TRUE,TRUE,assay_target_pathogen,Assay_Target_Pathogen__c,Assay: Target Pathogen,Manufacturers,bar,,9,
manufacturer_id,Manufacturer ID,FALSE,FALSE,assay_manufacturer_id,Assay_Company_Institution_Name__c,,Manufacturers,,,,
manufacturer,Manufacturer,TRUE,TRUE,assay_manufacturer,Assay_Account_Name,,Manufacturers,,,1,1
city,City,TRUE,FALSE,assay_city,Assay_Account_BillingCity,,Manufacturers,,,4,4
country,Country of manufacturer HQ,TRUE,TRUE,assay_country,Assay_Account_BillingCountry,,Manufacturers,map,1,2,3
region,Region of manufacturer HQ,TRUE,TRUE,assay_region,Assay_Account_WHO_Region__c,,Manufacturers,pie;bar,2,3,2
permalink,Website,FALSE,FALSE,assay_permalink,Assay_Account_Website,,Manufacturers,,,,
manufacturer_qms,Type of Manufacturer QMS,FALSE,FALSE,assay_manufacturer_qms,Assay_Account_Type_of_Certified_QMS__c,,Manufacturers,,,,
country_tmp,Country tmp,FALSE,FALSE,assay_country_tmp,Country tmp,,Manufacturers,,,,
city2,City2,FALSE,FALSE,assay_city2,City2,,Manufacturers,,,,
lat,Latitude,FALSE,FALSE,assay_lat,Latitude,,Manufacturers,,,,
lng,Longitude,FALSE,FALSE,assay_lng,Longitude,,Manufacturers,,,,
