Identification,"The assay provides the list of pathogen(s) identified by the assay according to taxonomical categories such as species, genus, a group of closely related bacteria (like Acinetobacter baumanii group), and even family or order such as Enterobacterales.",ID
Presumptive Identification,"The assay provides a broader category of the identified pathogens , e.g., Gram+ bacteria, fungi.",ID
Detection,The assay provides the information that pathogens are present in the sample without naming them.,ID
AMR,"Detection tests for the presence of resistance genes or expressed gene products (e.g., enzymes, antimicrobial agent binding proteins).",Resistance / AST
Phenotypic AST,"A biological, phenotypic assay involving the growth of the pathogen in the presence of varying concentrations of an antimicrobial agent. The results reported are susceptibility categories (such as susceptible, intermediate, resistant) or a quantitative measure of anti-microorganism activity, the minimal inhibitory concentration (MICs).",Resistance / AST
Prediction AST,"Prediction of antibiotic resistance and/or susceptibility using an AI-based algorithm e.g., sequencing and AI-tool leveraging reference genome database.",Resistance / AST
Host Response,"Tests for presumptive sepsis (including neonatal sepsis) and inflammation syndrome. These tests usually target host response markers (e.g., C-reactive protein, procalcitonin, mRNA...) linked to bacterial infections. These tests are often used to discriminate between viral and bacterial infections, to inform on antibiotic use.",Host Response
Molecular ,"Detect the presence of a limited number of genetic targets (DNA and RNA) in body fluids based on amplification techniques. 
Technology examples: PCR, LAMP, CRISPR, … ",Type of technology 
Immunoassay ,"Detect the presence of antibodies, antigens, proteins or small molecules in body fluids through the use of antibodies or antigens.  
Technology examples: ELISA, Lateral flow assays, CLIA, … ",Type of technology 
Sequencing ,"Detect the presence and determine the nucleic sequence of a large number of genetic targets (DNA and RNA) simultaneously in body fluids.  
Technology examples: Nanopore sequencing, Sequencing by synthesis, Sanger sequencing, … ",Type of technology 
Digital tools ,"Use computing platforms and technologies like artificial intelligence, connectivity, software, apps and wearable sensors to connect and empower people, populations and healthcare providers in the management of health and wellness.  
Technology examples: Mobile medical apps and software to support clinical decision-making, Wearable devices, Software as a Medical Device, Computer-aided detection/diagnosis (CADe/CADx), Artificial Intelligence and Machine Learning (AI/ML)-Enabled Medical Devices/softwares, Cough analysis software, Smart auscultation tools, … ",Type of technology 
Growth based ,"Detect the presence of bacteria, viruses, fungi, or other microorganisms in a sample by relying on the growth of a microorganism. 
Technology examples: Culture (solid or liquid), Blood culture, Phenotypic AST, … ",Type of technology 
Imaging ,"The technique of imaging part of a body for clinical analysis and medical intervention. 
Technology examples: Ultrasonography, X-ray, Mammography, Nuclear medicine like MRI, … ",Type of technology 
Microscopy ,"The technique of magnifying a biospecimen for clinical analysis and medical intervention. 
Technology examples: Optical microscopy, FISH or IHC kits, … ",Type of technology 
Biophysics ,"Measure the levels of different analytes in blood and other body fluids based on acquiring spectra or using physical principles. 
Technology examples: Infrared or Raman spectroscopy, Mass Spectrometry, Nuclear magnetic resonance, Nanophotonics, Graphene-based sensors, … ",Type of technology 
Chemical/Biochemical? ,"Measure the levels of different analytes, usually electrolytes and metabolites, in body fluids based on a chemical/biochemical/enzymatic reaction.  
Technology examples: Clinical chemistry analyzer for Iron, blood glucose monitor (BGM), ... ",Type of technology 
Hematology ,"Count and measure the different types of cells in blood, such as red blood cells, white blood cells, and platelets. 
Technology examples: Blood typing, Hematology analyzers, … ",Type of technology 
Sample preparation ,"Kits, devices, and accessories used together with an IVD medical device that augment or extend the capabilities of that device in fulfilment of its intended use as an IVD medical device. 
Technology examples: Sample collection device, Whole blood separator, Urine concentrator, … ",Type of technology 
Parallel processing capacity ,"The maximum number of samples that can be simultaneously run on the instrument. Only a single unit/stack is considered if the instrument has a stackable design. 
Example: An instrument with slots for 3 cartridges has a theoretical parallel processing capacity of 3. ",Parallel processing & random access 
Random access ,"Capacity to test a new sample while one or more samples are running on the instrument. Unlike?sequential access,?random access?follows no specific pattern (out of sequence with each other). ",Parallel processing & random access 
True POC ,"True POC platforms enable testing at the lowest level healthcare settings such as primary care centres (Level 1), as well as community (Level 0) and at-home testing.  

The main features of True POC platforms are: (i) Handheld or portable (i.e. can be carried, usually below < 5kg), (ii) Power-free, battery-operated or portable charger compatible, (iii) Require no special skills to perform the test (can be done by lay users or health workers) and (iv) Independent of laboratory infrastructure / equipment and all necessary materials and reagents included in the kit. 
Example: Lateral flow assays, handheld molecular devices. ",Laboratory / point-of-care (POC) 
Near POC ,"Near POC platforms enable testing in intermediate referral facilities, such as district hospital laboratories and small health clinics (Level 2). 

The main features of Near POC platforms are: (i) Intermediate size (i.e. benchtop, but not portable), (ii) Require basic technical/laboratory skills (can be done by laboratory technicians, but not specialists) and (iii) Dependent on basic laboratory infrastructure / equipment (e.g. mains electricity, clean water, controlled environment, pipettes, vortex mixers). 
Example: Lateral flow assays or cartridge-based immunoassays with desktop/benchtop analyzers, molecular cartridge-based assays using desktop/benchtop platforms. ",Laboratory / point-of-care (POC) 
Lab-based ,"Testing kits or platforms that can only be operated in laboratories (some at Level 2, but usually at Level 3 or above) because of the complexity of the workflow, the technical skills and/or equipment required. 
Example: ELISA, Chemiluminescence immunoassay, slide agglutination, large cartridge-based immunoanalyzer, PCR kits with standard lab thermocyclers, growth-based assays, large AST platform, culture, mass spectrometer, Raman or Infrared spectrometer ",Laboratory / point-of-care (POC) 
Level 0: Community ,"First point of care with a community health worker – tools must be simple to use and not require special storage. 
Example: Community outreach, home testing, pharmacies. 
Tech: RDTs, True POC Molecular (some) ",Health-care levels 
Level 1: Primary Care ,"These sites serve outpatients and are staffed with health workers including lay health workers, usually with limited access to a laboratory. If available, the lab has only minimal equipment. Such sites may conduct certain POC tests and a few basic tests. They may also collect specimens for referral to testing at higher-level laboratories. Self-testing may be included. Clean water, electricity and refrigeration may not be available or are unreliable. 
Example: Primary care facility, health posts or centres. 
Tech: Same as level 0, + all True POC Molecular, Basic microscopy ",Health-care levels 
Level 2: District Hospital Lab ,"These level-2 testing sites are intermediate referral facilities staffed with laboratory technicians and sometimes with laboratory specialists. The lab has basic equipment (e.g. biosafety cabinet, centrifuge, pipets, fridge). They offer more diagnostic services than level-1 sites. They may also provide support for quality assurance and training. Mains power is usually available but can be intermittent.  
Example: District hospital. 
Tech: Same as level 1, + Near POC Molecular, ELISA with sample reader, Clinical chemistry (some) ",Health-care levels 
Level 3: Regional or Provincial Referral Hospitals ,"These sites in regional or provincial referral hospitals or laboratories are staffed with laboratory specialists and technicians. High infrastructure facility with reliable mains power. They perform more complex tests, offer a complete “menu” of tests and can process large volumes of specimens. Level-3 sites test specimens collected by lower-level facilities and support those facilities in quality assurance, training and surveillance. 
Example: Reference laboratory. 
Tech: Same as level 2, + blood culture and microbiology (some), all Clinical chemistry ",Health-care levels 
Level 4: National Reference Laboratory ,"National or regional public health reference laboratories are staffed with laboratory specialists and technicians. They can be expected to perform the most complex types of testing (of specimens taken at lower-level facilities or by receiving patients referred directly from other facilities), support lower-level sites, intervene in policy, evaluate new technologies being considered for use in a country, conduct surveillance of diseases of public health concern and are referral centres for quality assurance and training. 
Tech: Same as level 3, + Laboratory-based molecular assays, LDTs, EIA/CLIA, sequencing, mass spectrometry, ... ",Health-care levels 
Regulatory body ,"An entity that carries out regulatory activities relating to diagnostics products. For the test directory, it combines national regulatory agencies (such as the US FDA), conformity marks (such as CE-IVDD) or recommendations / pre-qualifications from intergovernmental health organizations or public health agencies (such as WHO or Africa CDC)",Regulatory 
