package_id,performance_id,assay_id,instrument_id,software_id,technology_submission_id,directory,assay_name,instrument_name,package_name,performance_name,find_website_area,test_to_be_listed_on_finds_web_page,purpose_of_submission,confidentiality_level,assay_target,date_of_submission,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,planned_market_entry,primary_use_case,ID_type,disease_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,Drug_resistance_target,AST_output,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,time_to_results_excl_prep,serovar_subtype,disease_target_phase,manufacturer_id,manufacturer,city,country,region,permalink,manufacturer_qms,submission_title,sensitivity,specificity,sensitivity_ci_low,sensitivity_ci_up,specificity_ci_low,specificity_ci_up,find_evaluation,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,type_data_source,target_patient_group,sample_type,data_to_be_published_on_finds_web_page,reference_url,country_tmp,city2,lat,lng
a2v69000002xsMCAAY,NA,a2r69000009kS03AAE,NA,NA,NA,Assays,AsperGenius 2.0 Resistance TR Multiplex real-time PCR kit,NA,P-6192,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 09:46:20,Regulatory Achieved,CE-IVDD,Molecular,AMR,Bloodstream Infections;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Aspergillosis,Fungi,Aspergillus fumigatus,Unknown,qPCR,Fluorescence,Semi-quantitative,Azole resistance,Other,Not applicable,Not applicable,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage;Serum;Plasma;Other,NA,Unspecified,NA,0016900003CjSuCAAV,PathoNostics B.V.,Maastricht,Netherlands,European Region,https://pathonostics.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,"Maastricht, Netherlands",50.848376453,5.693558527
a2v69000002xsMDAAY,NA,a2r69000009kRztAAE,NA,NA,NA,Assays,AsperGenius Resistance Multiplex real-time PCR kit,NA,P-6193,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 09:40:11,Regulatory Achieved,CE-IVDD,Molecular,ID-AMR,Bloodstream Infections;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Aspergillosis,Fungi,Other;Aspergillus fumigatus;Aspergillus spp,Unknown,qPCR,Fluorescence,Semi-quantitative,Azole resistance,Other,Not applicable,Not applicable,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage;Serum;Plasma;Other,NA,Unspecified,NA,0016900003CjSuCAAV,PathoNostics B.V.,Maastricht,Netherlands,European Region,https://pathonostics.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,"Maastricht, Netherlands",50.848376453,5.693558527
a2v69000002xsMHAAY,NA,a2r69000009kRzuAAE,NA,NA,NA,Assays,AsperGenius Species Multiplex real-time PCR kit,NA,P-6194,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 09:41:50,Regulatory Achieved,CE-IVDD,Molecular,ID,Bloodstream Infections;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Aspergillosis,Fungi,Other;Aspergillus fumigatus;Aspergillus spp,Unknown,qPCR,Fluorescence,Semi-quantitative,Not applicable,Not applicable,Not applicable,Not applicable,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage;Serum;Plasma;Other,NA,Unspecified,NA,0016900003CjSuCAAV,PathoNostics B.V.,Maastricht,Netherlands,European Region,https://pathonostics.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,"Maastricht, Netherlands",50.848376453,5.693558527
a2v69000002xsMIAAY,NA,a2r69000009kRzjAAE,NA,NA,NA,Assays,EntericBio C. Difficile,NA,P-6197,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 07:56:33,Regulatory Achieved,CE-IVDD,Molecular,ID,Enteric,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Bacteria (Gram+),Clostridioides difficile,Other,qPCR,Fluorescence,Qualitative,Not applicable,Not applicable,Not applicable,Not applicable,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Manual,Lab-based,Intended for professional use only,Stool,180,Unspecified,NA,0016900002tjLJiAAM,Serosep UK Ltd,Crawley,United Kingdom,European Region,https://serosep.com,ISO 9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,"Crawley, United Kingdom",51.114471145,-0.188199897
a2v69000002xsMMAAY,NA,a2r69000009kRzyAAE,NA,NA,NA,Assays,AsperGenius 2.0 Species Multiplex real-time PCR kit,NA,P-6195,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 09:44:13,Regulatory Achieved,CE-IVDD,Molecular,ID,Bloodstream Infections;Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Aspergillosis,Fungi,Other;Aspergillus fumigatus;Aspergillus spp,Unknown,qPCR,Fluorescence,Semi-quantitative,Not applicable,Not applicable,Not applicable,Not applicable,NAT reagent kit (open source),Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Bronchoalveolar lavage;Serum;Plasma;Other,NA,Unspecified,NA,0016900003CjSuCAAV,PathoNostics B.V.,Maastricht,Netherlands,European Region,https://pathonostics.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,"Maastricht, Netherlands",50.848376453,5.693558527
a2v69000002xsMNAAY,NA,a2r69000009kRzeAAE,a2s69000000zTG5AAM,NA,NA,Assays,LIT test,NA,P-6198,NA,AMR,Yes,Test Directory,NA,Other,2023-10-19 07:36:08,Early Stage Development (partial prototype),None,Immunoassay,Host Response,Bloodstream Infections;Inflammation,Unspecified Market Entry,Triage/Screening,Not applicable,Sepsis,Not applicable,Not applicable,Unknown,Flow Cytometry,Chemiluminescence,NA,Not applicable,Not applicable,Not applicable,Not applicable,NA,A proprietary/new instrument is required,NA,near Point of Care,NA,Finger prick blood,10,Not applicable,NA,001Vj000004HqHoIAK,Seroxo Ltd.,Richmond,United Kingdom,European Region,https://seroxo.com,No certified QMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,"Richmond, United Kingdom",54.404115347,-1.737290296
a2v69000002xsMRAAY,NA,a2r69000009kRzoAAE,NA,NA,NA,Assays,EntericBio CPE Screen,NA,P-6196,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 08:02:08,Regulatory Achieved,CE-IVDD,Molecular,AMR,Enteric,Already on the market (commercialized),NA,Not applicable,Unspecified,Not applicable,Not applicable,Unknown,qPCR,Fluorescence,Qualitative,CPO,IMP;KPC;NDM;OXA;VIM;Other,Not applicable,Not applicable,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Manual,Lab-based,Intended for professional use only,Stool (Feces) Culture;Rectal swab;Stool,180,Not applicable,NA,0016900002tjLJiAAM,Serosep UK Ltd,Crawley,United Kingdom,European Region,https://serosep.com,ISO 9001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,"Crawley, United Kingdom",51.114471145,-0.188199897
a2v69000002xsMWAAY,NA,a2r69000009kS08AAE,NA,NA,NA,Assays,PneumoGenius Multiplex real-time PCR kit,NA,P-6199,NA,AMR,Yes,Test Directory,NA,DNA,2023-10-19 09:54:35,Regulatory Achieved,CE-IVDD,Molecular,ID-AMR,Lower Respiratory Tract Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Fungi,Pneumocystis jirovecii,Unknown,qPCR,Fluorescence,Semi-quantitative,Other,Other,Not applicable,Not applicable,NAT reagent kit (open source),Standard lab instrumentation is required,NA,Lab-based,Intended for professional use only,Bronchoalveolar lavage,180,NA,NA,0016900003CjSuCAAV,PathoNostics B.V.,Maastricht,Netherlands,European Region,https://pathonostics.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands,"Maastricht, Netherlands",50.848376453,5.693558527
a2v69000002xsMbAAI,NA,a2r69000009kS0IAAU,NA,NA,NA,Assays,OneStep RapiCard Gonorrhea InstaTest,NA,P-6201,NA,AMR,Yes,Test Directory,NA,Antigen,2023-10-19 11:54:13,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,Qualitative,Not applicable,Not applicable,Not applicable,Not applicable,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Vaginal swab;Urethral swab,10,Unspecified,NA,0016900002klKqmAAE,Diagnostic Automation / Cortez Diagnostics (DACD),Woodland Hills,United States,Region of the Americas,https://rapidtest.com,ISO 13485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,"Woodland Hills, United States",34.1678418,-118.5974307
a2v69000002xsMgAAI,NA,a2r69000009kS0NAAU,NA,NA,NA,Assays,iCARE Gonorrhea Rapid Screen Test,NA,P-6202,NA,AMR,Yes,Test Directory,NA,Antigen,2023-10-19 12:08:58,Research Use Only (RUO),None,Immunoassay,ID,Sexually Transmitted Infections,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,Qualitative,Not applicable,Not applicable,Not applicable,Not applicable,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-collection (kit available),Serum;Plasma;Finger prick blood;Whole Blood,5,Unspecified,NA,0016900003CjTFOAA3,JAL Innovation (Singapore) Pte Ltd,Singapore,Singapore,Western Pacific Region,https://jalinnovation.com,ISO 13485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singapore,"Singapore, Singapore",1.2894365,103.8499802
