submission_id,performance_detail_submission_id,date_of_submission,manufacturer,submission_title,disease_target,stage_of_development,permalink,regulatory_status,clinical_sensitivity,clinical_specificity,type_of_technology,assay_target,target_analyte,technology_principle,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,time_to_results_excl_prep,time_to_results_incl_prep,connectivity_solution,find_evaluation,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta,sc2_delta_plus,sc2_omicron,s_gene_dropout,scov2_variants,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,is_this_a_variant_detection_test,revoked_not_approved_by,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,regex,country,region
a0B6900001Lkled,a2669000009z9cp,02.09.21,1drop Inc.,1copy COVID-19 qPCR Multi Kit,SARS-CoV-2,Regulatory Achieved,1drop.co.kr,US FDA EUA; Health Canada; CE-IVD; Saudi Arabia SFDA; Other,100,100,Molecular,RNA,E gene; RdRp gene,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,110,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a0B6900001J4Aw5,a266900000A9wFQ,01.05.21,3B BlackBio Biotech India ltd.,TRURAPID COVID-19 Ag Test,SARS-CoV-2,Regulatory Achieved,3bblackbio.com,CE-IVD,90.26,99.05,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasopharyngeal swab; Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,154,313,467,india(?!.*ocea),India,Asia
a0B6900001J3nVa,a266900000A9w7o,06.03.21,3B BlackBio Biotech India ltd.,TRUPCR SARS-CoV-2 Kit,SARS-CoV-2,Regulatory Achieved,3bblackbio.com,US FDA EUA; India CDSCO; Other,96.77,96.67,Molecular,RNA,E gene; N gene; ORF1ab,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva,87,137,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,61,60,121,india(?!.*ocea),India,Asia
a0B6900001J3nVf,a266900000A9w7p,06.03.21,3B BlackBio Biotech India ltd.,TRUPCR® SARS-CoV-2 RT qPCR KIT Version 2.0 (I),SARS-CoV-2,Regulatory Achieved,3bblackbio.com,CE-IVD,100,100,Molecular,RNA,E gene; N gene,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva,87,137,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,75,85,160,india(?!.*ocea),India,Asia
a0B6900001Lklee,a2669000009z9cq,02.09.21,"3D Biomedicine Science & Technology Co., ltd.",3DMed 2019-nCoV RT-qPCR Detection Kit,SARS-CoV-2,Regulatory Achieved,3dmedcare.com/,WHO EUL; CE-IVD,96,100,Molecular,RNA,E gene; N gene; ORF1ab,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001Lklef,a2669000009z9cr,02.09.21,3D Medicines,ANDiS® SARS-CoV-2 RT-qPCR Detection Kit,SARS-CoV-2,Regulatory Achieved,3d-medicines.com,CE-IVD,NA,NA,Molecular,RNA,E gene; N gene; ORF1ab,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Other,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001LlzR4,a266900000B5QIV,NA,A. Menarini Diagnostics,ANTIGEN RAPID TEST CASSETTE SARS-COV-2 (SWAB),SARS-CoV-2,Regulatory Achieved,www.menarinidiagnostics.com,CE-IVD,97.42,99.99,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a0B6900001LlW8S,a266900000AxPvk,17.01.22,A1 Life Sciences,Diagnovital HS SARS-CoV-2 Real Time PCR Kits v2.0/RT PCR,SARS-CoV-2,Regulatory Achieved,a1lifesciences.com.tr,CE-IVD,0,0,Molecular,RNA,N gene,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,53,NA,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected S-gene drop out (based on in silico analyses),NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,turkey,Turkey,Europe
a0B6900001J3nBU,a266900000A9w7G,05.03.21,AAZ-LMB,COVID-VIRO,SARS-CoV-2,Regulatory Achieved,covid19aaz.com/en/rapide-antigenic-test/,CE-IVD,96.6,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,15,16,No,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,117,109,226,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a0B6900001J3nEE,a266900000A9w7L,05.03.21,AAZ-LMB,COV-QUANTO,SARS-CoV-2,Regulatory Achieved,covid19aaz.com/en/rapide-antigenic-test/,CE-IVD,93,98.4,Immunoassay,Antigen,N-protein,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,180,210,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,142,63,205,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
