"Submission: ID","Submission: Created Date","Country of Manufacturer","Region","Product Website","Organisation Name","Regions of test availability","Submission: Submission Title","Target Pathogen","Health Level","Primary Use Case","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Format of Material Provided","Qualitative or Quantitative","Is this a variant detection test?","SARS-CoV-2 variant(s)","Other variant(s)","Test to be listed on FIND's web page?","Comments","Storage Temperature","Country","WHO Region"
"a0B6900001PDviq","16.06.2022","Italy","Europe","https://www.abanalitica.com/it/catalogo/prodotto/sars-cov-2-eqa-study-programme/","AB ANALITICA","Global","Viral EQA - SAR-COV-2","SARS-CoV-2","Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","Whole Genome; Other","Liquid sample","Qualitative","No","","","Yes","The panel is designed to represent various clinical scenarios","minus 20C","Italy","European Region"
"a0B6900001PDvkc","16.06.2022","Italy","Europe","https://www.abanalitica.com/it/catalogo/prodotto/respiratory-i-plus-eqa-programme/","AB ANALITICA","Global","Viral EQA - RESPIRATORY I PLUS RESPIplus21 -","SARS-CoV-2","Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","Whole Genome; Other","Liquid sample","Qualitative","No","","","Yes","The panel is designed to represent various clinical scenarios","minus 20C","Italy","European Region"
"a0B6900001PDvir","16.06.2022","United States","Americas","https://events.jspargo.com/AACC20/CUSTOM/SARS.pdf","American Proficiency Institute","Americas","SARS-CoV-2 swab (molecular)","SARS-CoV-2","Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","Whole Genome","Swab","Qualitative","No","","","Yes","For detection of SARS-CoV-2 (COVID-19) by molecular methods. Contains the whole genome, providing sequence targets compatible with swab based methods","","United States","Region of the Americas"
"a0B6900001PDvis","16.06.2022","United States","Americas","https://events.jspargo.com/AACC20/CUSTOM/SARS.pdf","American Proficiency Institute","Americas","SARS-CoV-2 liquid (molecular)","SARS-CoV-2","Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","Whole Genome","Liquid sample","Qualitative","No","","","Yes","For detection of SARS-CoV-2 (COVID-19) using molecular methods. Contains the whole genome, providing sequence targets compatible with liquid based molecular assays.","","United States","Region of the Americas"
"a0B6900001PDvjV","16.06.2022","United States","Americas","https://events.jspargo.com/AACC20/CUSTOM/SARS.pdf","American Proficiency Institute","Americas","SARS-CoV-2 Antigen","SARS-CoV-2","Level 0: Community; Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Immunoassay","Antigen","SARS-CoV-2 Antigen","Unknown","Qualitative","No","","","Yes","Swab - For detection of SARS-CoV-2 antigen","","United States","Region of the Americas"
"a0B6900001PDvjW","16.06.2022","United States","Americas","https://events.jspargo.com/AACC20/CUSTOM/SARS.pdf","American Proficiency Institute","Americas","SARS-CoV-2 Serology","SARS-CoV-2","Level 0: Community; Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Immunoassay","Antibody (serological)","IgA; IgG; IgM; Total Antibody","Liquid sample","Qualitative","No","","","Yes","For qualitative reporting by methods detecting the presence of antibodies against SARS-CoV-2","","United States","Region of the Americas"
"a0B6900001PDvlP","16.06.2022","Brazil","Americas","https://controllab.com/en/solutions-for-quality-control-in-the-analysis-of-the-covid-19/","Controllab Quality Control for Laboratories ltd.A.","Americas","Coronavirus TLR (SARS-CoV2) - Antigen","SARS-CoV-2","Level 0: Community","EQA","Other","Immunoassay","Antigen","SARS-CoV-2 Antigen","Lyophilised sample","Qualitative","No","","","Yes","","2 to 8C","Brazil","Region of the Americas"
"a0B6900001PDvpr","16.06.2022","Brazil","Americas","https://controllab.com/en/covid-19-complete-quality-control-solutions/","Controllab Quality Control for Laboratories ltd.A.","Americas","Coronavirus Saliva Molecular Biology","SARS-CoV-2","Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","E gene; N1 gene; N2 gene; N gene; ORF1ab; ORF3a; RdRp gene; S gene","Lyophilised sample","Qualitative","No","","","Yes","","2 to 8C","Brazil","Region of the Americas"
"a0B6900001PDvps","16.06.2022","Brazil","Americas","https://controllab.com/en/covid-19-complete-quality-control-solutions/","Controllab Quality Control for Laboratories ltd.A.","Americas","Coronavirus Molecular Biology (SARS-CoV2)","SARS-CoV-2","Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Molecular","RNA","E gene; N1 gene; N2 gene; N gene; ORF1ab; ORF3a; RdRp gene; S gene","Lyophilised sample","Qualitative","No","","","Yes","","2 to 8C","Brazil","Region of the Americas"
"a0B6900001PDvpu","16.06.2022","Brazil","Americas","https://controllab.com/en/covid-19-complete-quality-control-solutions/","Controllab Quality Control for Laboratories ltd.A.","Americas","EPTRISARS34 - TLR Immuno Coronavirus (3 items x 4 rounds)","SARS-CoV-2","Level 0: Community; Level 1: Microscopy Center; Level 2: District & Subdistrict Lab/Hosp; Level 3: Reference Laboratory","EQA","Other","Immunoassay","Antibody (serological)","IgA; IgG; IgM; Total Antibody","Lyophilised sample","Quantitative + Qualitative","No","","","Yes","","Other","Brazil","Region of the Americas"
