"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2v69000004gKmy","a2r69000007lbLk","a266900000BscDF","06.07.2023","United States","Medford","Region of the Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Ebola-Malaria Antigen System","Triage/Screening","ID","Ebola fever","Ebola virus","Validation","Unknown","","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Venous blood; Whole Blood","","Ebola spp.","","15.00","Yes","","No","Company-Sponsored","No","","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019Jz6","DPP Micro Reader"
"a2v69000004gL5T","a2r69000007lbLl","a266900000BscEs","06.07.2023","Belgium","Gembloux","European Region","corisbio.com","Coris BioConcept","EBOLA Ag K-SeT","Triage/Screening","ID","Ebola fever","Ebola virus","Validation","Unknown","","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Zaire ebolavirus","","15.00","Yes","","No","Company-Sponsored","No","","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboI","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antibody (serological)","L0: Community","0","0","0","0.00","78.00","94.00","86.00","74.00","92.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboJ","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antibody (serological)","L0: Community","0","0","0","56.00","39.00","72.00","94.00","86.00","98.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboK","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Independent","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboL","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","331","257","74","89.90","86.20","93.60","89.20","82.10","96.30","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboM","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","208","115","93","95.70","92.90","98.40","82.80","77.70","87.90","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsv","a2r69000007lbb1","a266900000BsboN","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio Dengue Duo","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antibody (serological)","L0: Community","150","60","90","96.30","90.80","99.00","95.00","87.70","98.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsx","a2r69000007lbch","a266900000BsboP","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","SD BIOLINE Dengue NS1 Ag (also known as NS1 Bioeasy immunochromatographic strip","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","15.00","Yes","","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","92.40","0.00","0.00","98.40","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKsw","a2r69000007lbcg","a266900000BsboQ","06.07.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","SD BIOLINE Dengue Duo (Dengue NS1 AG + IgG;IgM)","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Achieved","Brazil ANVISA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","","No","Independent","No","Antibody (serological) + Antigen","L0: Community","0","0","0","91.00","84.00","95.00","96.00","91.00","98.00","Victoria Aroworade","Victoria Aroworade","",""
