"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Disease Target Phase","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","Performance Detail Submission Number","Assay Target","Study Type","Type of data source","Drug Resistance Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples","Other drug resistance target","Assay: Other Regulatory Approval","Assay: Purpose of submission"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqf","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (HIV+ patients)","PD-57851","Antigen","Independent","Other","Not applicable","42.00","31.00","55.00","91.00","85.00","95.00","Active TB","Urine","3449","1277","2172","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqg","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (overall symptomatic HIV+ patients)","PD-57852","Antigen","Independent","Other","Not applicable","42.00","31.00","55.00","91.00","85.00","95.00","Active TB","Urine","3449","1277","2172","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqh","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (overall unselected HIV+ patients)","PD-57853","Antigen","Independent","Other","Not applicable","35.00","22.00","50.00","95.00","89.00","98.00","Active TB","Urine","3365","432","2933","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqi","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (symptomatic HIV+ inpatient)","PD-57854","Antigen","Independent","Other","Not applicable","52.00","40.00","64.00","87.00","78.00","93.00","Active TB","Urine","2253","868","1385","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqj","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (symptomatic HIV+ outpatient)","PD-57855","Antigen","Independent","Other","Not applicable","29.00","17.00","47.00","96.00","91.00","99.00","Active TB","Urine","1196","409","787","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tqk","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (unselected HIV+ inpatient)","PD-57856","Antigen","Independent","Other","Not applicable","62.00","41.00","83.00","84.00","48.00","96.00","Active TB","Urine","537","159","378","","WHO recommended","Test Directory"
"a2v69000004gKt4","a2r69000007lbEm","a266900000B8tql","06.07.2023","Groß-Rohrheim","Germany","European Region","globalpointofcare.abbott/en/index.html","Abbott Rapid Diagnostics","Determine TB-LAM Ag","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","25.00","Yes","Yes","TB detection from urine (unselected HIV+ outpatient)","PD-57857","Antigen","Independent","Other","Not applicable","31.00","18.00","47.00","95.00","87.00","99.00","Active TB","Urine","2828","273","2555","","WHO recommended","Test Directory"
"a2v69000004gLSu","a2r69000007lb91","a266900000B8ttk","06.07.2023","Darmstadt","Germany","European Region","r-biopharm.com","R-Biopharm AG","IP-10 IGRA LF","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Immunoassay","Antigen","Interferon Gamma","IGRA","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Whole Blood","","","Yes","No","","PD-58042","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLSt","a2r69000007lbFH","a266900000B8ttj","06.07.2023","Darmstadt","Germany","European Region","r-biopharm.com","R-Biopharm AG","IP-10 IGRA ELISA","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Research Use Only (RUO)","None","Unspecified Market Entry","Immunoassay","Antigen","Interferon Gamma","ELISA/EIA; IGRA","","Colorimetric","Not applicable","","Not applicable","","Chemiluminescent Immunoassay (CLIA)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","heprin","","Yes","No","","PD-58041","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLUB","a2r69000007lbFL","a266900000B8ttu","06.07.2023","Suwon-si","Korea, Republic of","Western Pacific Region","sdbiosensor.com","SD Biosensor, Inc.","STANDARD E TB-Feron ELISA","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD; Korea MFDS","Already on the market (commercialized)","Immunoassay","Antigen","Interferon Gamma","ELISA/EIA; IGRA","","Colorimetric","Not applicable","","Not applicable","","Chemiluminescent Immunoassay (CLIA)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma","","100.00","Yes","No","","PD-58052","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
