"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Assay: Potential impact (in silico analyses)","Assay: No impact (analytical/clinical studies)","Assay: Impact (analytical/clinical studies)","Assay: No expected impact (in silico analyses)","Assay: S gene dropout","Assay: SARS-CoV-2 variant(s)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name","Instrument: Connectivity Solution","Assay: FIND Website Area"
"a2vVj000000b3uz","a2rVj0000003ZUH","","08.03.2024","Japan","Tokyo","Western Pacific Region","sekisuimedical.jp","Sekisui Medical Co., ltd.","OSOM Flu SARS-CoV-2 Combo Home Test","","ID","Common Cold; Covid-19; Influenza; Parainfluenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","","Antigen","","Lateral Flow Assay","","","Rapid diagnostic test (strip or cassette)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj000000Qkwr","a2rVj0000002lFl","","15.02.2024","Australia","Unknown","Western Pacific Region","ha-tech-ltd.com","HA TECH","Respiratory Combo Panel RSV/ SARS-CoV-2 / Influenza A/B Rapid Antigen Test Kit R","","ID","Common Cold; Covid-19; Influenza; Parainfluenza","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Regulatory Achieved","Australia TGA","","Already on the market (commercialized)","Immunoassay","","","Lateral Flow Assay","","","Rapid diagnostic test (strip or cassette)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj000000NgjJ","a2rVj0000002YX3","","08.02.2024","Korea, Republic of","Sejong-si","Western Pacific Region","sugentech.com","Sugentech, Inc.","INCLIX TRF COVID-19 & Flu A/B Ag","","ID","Common Cold; Covid-19; Influenza; Parainfluenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","Korea MFDS","","Already on the market (commercialized)","Immunoassay","","","Lateral Flow Assay","","","Rapid diagnostic test (strip or cassette)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj000000Nfgn","a2rVj0000002YTp","","08.02.2024","United States","Waltham","Region of the Americas","https://www.revvity.com/","Revvity, Inc.","Respiratory SARS-CoV2 RT-PCR Panel 1","","ID","Common Cold; Covid-19; Croup; Influenza; Pneumonia","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","","","","qPCR","","","NAT reagent kit (open source)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj000000Nfbx","a2rVj0000002YSD","","08.02.2024","United States","Waltham","Region of the Americas","https://www.revvity.com/","Revvity, Inc.","New Coronavirus Nucleic Acid Detection Kit","","ID","Common Cold; Covid-19","SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","","","","qPCR","","","NAT reagent kit (open source)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj0000003Vgn","a2rVj0000000kpF","","14.12.2023","United States","Abbott Park","Region of the Americas","abbott.com","Abbott Laboratories","Panbio COVID-19/Flu A&B Rapid Panel","","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","Japan MHLW","","Already on the market (commercialized)","Immunoassay","","","Lateral Flow Assay","","","Rapid diagnostic test (strip or cassette)","","","","","","","","","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","","","James Bates","James Bates","","","","COVID-19; Outbreak"
"a2vVj000001VPJJ","a2rVj00000080Np","","16.07.2024","China","Hangzhou","Western Pacific Region","en.biotests.com.cn","Hangzhou Biotest Biotech Co., Ltd.","COVID-19 + Flu A&B Antigen Combo Rapid Test Cassette (Nasal Swab)","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","Australia TGA; CE","","Already on the market (commercialized)","Immunoassay","Antigen","InfA N antigen; InfB N antigen; N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","10.00","Yes","","","","","","","","","","","","","","Not applicable","","Not applicable","None","Not applicable","","Bastien Schyrr","Bastien Schyrr","","","","COVID-19; Outbreak"
"a2v69000004gL02","a2r69000007lc0b","","06.07.2023","Denmark","Copenhagen","European Region","bgi.com","BGI Europe A/S","Real-time fluorescent RT-PCR kit for detecting 2019-nCoV","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; Brazil ANVISA; CE-IVDD; China NMPA; Japan MHLW; MHRA UK; WHO EUL","","Already on the market (commercialized)","Molecular","RNA","ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Oropharyngeal swab","","100.00","Yes","","","","","","","","","","","","","","Alpha","None","None","Beta; Delta; Delta+; Gamma; Omicron","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL01","a2r69000007lbJQ","","06.07.2023","Denmark","Copenhagen","European Region","bgi.com","BGI Europe A/S","Nucleic Acid Detection kit for SARS-CoV-2 with Combinatorial Probe-Anchor Synthe","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","Whole Genome","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Oropharyngeal swab","","1500.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL04","a2r69000007lbjY","","06.07.2023","Denmark","Copenhagen","European Region","bgi.com","BGI Europe A/S","SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; Saudi Arabia SFDA","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL03","a2r69000007lbjX","","06.07.2023","Denmark","Copenhagen","European Region","bgi.com","BGI Europe A/S","Real-time fluorescent RT-PCR kit for detecting SARS-CoV-2","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; Health Canada; MHRA UK; US FDA EUA; WHO EUL Under Assessment; Other","","Already on the market (commercialized)","Molecular","RNA","ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Gamma; Omicron","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL06","a2r69000007lbHg","","06.07.2023","China","Hong Kong","Western Pacific Region","bgi.com","BGI Health (HK) Co.Ltd","Real-time Fluorescent RT-PCR kit for detection 2019-nCOV (CE-IVD)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Oropharyngeal swab","","100.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL22","a2r69000007lbrf","","06.07.2023","Korea, Republic of","Daejeon","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower COVID-19 Multiplex Real-Time RT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Indonesia MDR; Korea MFDS; Other","Indonesia","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","90.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL21","a2r69000007lbMA","","06.07.2023","Korea, Republic of","Daejeon","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower RV1 Real-Time RT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Korea MFDS","","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","90.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL23","a2r69000007lbm8","","06.07.2023","Korea, Republic of","Daejeon","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower RV1 Multiplex Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Korea MFDS; Mexico COFEPRIS; Other","Mexico","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","80.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL26","a2r69000007lbtZ","","06.07.2023","China","Beijing","Western Pacific Region","bioneovan.com","Bioneovan Co., Ltd","COVID-19 Antigen Test Kit (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gL25","a2r69000007lbXr","","06.07.2023","Korea, Republic of","Daejeon","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower SARS-CoV-2 Variants ID Real-Time RT-PCR Kit (SMVR-2112)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","Other; S gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","90.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Alpha; Beta; Delta; Delta+; Gamma; Kappa","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
